branch,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,family,240,34,0.14166666666666666
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,union,240,45,0.1875
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,family_v12,240,34,0.14166666666666666
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,family,240,33,0.1375
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,union,240,45,0.1875
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,family_v12,240,33,0.1375
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,family,240,32,0.13333333333333333
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY_trusted,exact,240,37,0.15416666666666667
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,union,240,91,0.37916666666666665
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,family_v12,240,80,0.3333333333333333
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,family,240,80,0.3333333333333333
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,union,240,110,0.4583333333333333
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,family_v12,240,94,0.39166666666666666
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,family,240,93,0.3875
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,union,240,110,0.4583333333333333
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,family_v12,240,93,0.3875
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,family,240,92,0.38333333333333336
