gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,attack_class,mechanism,strength,impact_bal_acc,bal_acc,bal_acc_clean,delta_bal_acc,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_strength,atk_alpha,atk_strength_nominal,atk_strength_eff,atk_delta,atk_per_feature,atk_dvec_mean,atk_dvec_std,atk_priority_group,atk_mechanism,atk_window_sd,atk_min_mass,atk_frozen_entry_fraction,atk_perturbed_entry_fraction,atk_fully_frozen_row_fraction,atk_max_feature_frozen_fraction,atk_min_feature_frozen_fraction,atk_mean_abs_delta,atk_mean_abs_delta_moved,atk_max_abs_delta,atk_n_samples,atk_n_features
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.500,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.5,0.0625,0.7109375,0.7734375,0.0625,0.0860428828592597,0.071919571754596,0.375,0.1843241493980911,0.046875,0.0012624112457717,0.0,0.0,0.125,0.0114375144865458,0.0859375,0.125,0.0114375144865458,,adaptive_covariate_shift,0.5,,0.5,0.1255714545283103,,,,,adaptive,mean_shift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.1255714545283103,0.3379373703994475,0.8964108411528189,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.020,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.02,0.0,0.80859375,0.7734375,-0.03515625,0.0314055092028436,0.0,0.0,0.1676054578581777,0.04296875,0.0010641192060348,0.0,0.0,0.0859375,0.0017485369932661,0.05078125,0.0859375,0.0017485369932661,,adaptive_covariate_shift,0.02,,0.02,0.0229614091403615,,,,,adaptive,scaling_drift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.0229614091403615,0.0617936477259665,0.4468305421705345,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.050,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.05,0.0,0.79296875,0.7734375,-0.01953125,0.065917929892527,0.0,0.375,0.198337712789132,0.05078125,0.0014770023697141,0.0,0.0,0.1015625,0.002965449900606,0.08203125,0.1015625,0.002965449900606,,adaptive_covariate_shift,0.05,,0.05,0.0574035228509039,,,,,adaptive,scaling_drift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.0574035228509039,0.1544841193149162,1.1170763554263343,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.100,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.1,0.06640625,0.70703125,0.7734375,0.06640625,0.084013806141683,0.0375743592995544,0.5,0.1955042458572584,0.03515625,0.0007169555337994,0.0,0.0,0.1328125,0.0104804036447224,0.08203125,0.1328125,0.0104804036447224,,adaptive_covariate_shift,0.1,,0.1,0.1148070457018079,,,,,adaptive,scaling_drift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.1148070457018079,0.3089682386298325,2.234152710852665,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.250,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.25,0.08984375,0.68359375,0.7734375,0.08984375,0.1276439614400536,0.1418752527876966,0.75,0.2071286936902803,0.09765625,0.0052835116507352,0.0,0.0,0.1953125,0.024075502259597,0.13671875,0.1953125,0.024075502259597,,adaptive_covariate_shift,0.25,,0.25,0.2870176142545194,,,,,adaptive,scaling_drift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.2870176142545194,0.7724205965745805,5.585381777131662,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.500,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.5,0.078125,0.6953125,0.7734375,0.078125,0.1400670016019999,0.229312113213282,0.875,0.2202525119935217,0.15625,0.0130935443730287,0.0,0.0,0.3125,0.0341808864700259,0.171875,0.3125,0.0341808864700259,,adaptive_covariate_shift,0.5,,0.5,0.5740352285090389,,,,,adaptive,scaling_drift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.5740352285090389,1.5448411931491617,11.170763554263328,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,mean_shift_pf_delta_0.020,covariate_shift,core,control,mean_shift,0.02,0.00390625,0.76953125,0.7734375,0.00390625,0.0404824771370432,0.0,1.0,0.3134432558830885,0.00390625,9.103040205248958e-06,0.0,0.0,0.0078125,0.0001439093135599,0.00390625,0.0078125,0.0001439093135599,,covariate_shift,0.0225154595672306,,0.02,0.0225154595672306,0.02,1.0,-0.0063221259411995,0.0216096423641671,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,mean_shift_pf_delta_0.050,covariate_shift,core,control,mean_shift,0.05,0.01171875,0.76171875,0.7734375,0.01171875,0.0956198899624398,0.0,1.0,0.4969385738844517,0.01953125,0.0002243041607745,0.0,0.0,0.0390625,0.0016862092783634,0.05078125,0.0390625,0.0016862092783634,,covariate_shift,0.0397842121637401,,0.05,0.0397842121637401,0.05,1.0,0.0070544210645281,0.0391537824601127,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,mean_shift_pf_delta_0.100,covariate_shift,core,control,mean_shift,0.1,0.0078125,0.765625,0.7734375,0.0078125,0.0825088215016306,0.0,1.0,0.4086269508775379,0.0078125,3.683323907985813e-05,0.0,0.0,0.015625,6.200669428226848e-05,0.0078125,0.015625,6.200669428226848e-05,,covariate_shift,0.043215646726832,,0.1,0.043215646726832,0.1,1.0,-0.0280552981077003,0.0328708437693103,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,scaling_drift_alpha_0.020,covariate_shift,core,control,scaling_drift,0.02,0.0,0.78125,0.7734375,-0.0078125,0.1534671649341134,0.0,0.875,0.5281057687533437,0.015625,0.00014406260755,0.0,0.0,0.03125,0.0002850518324319,0.0234375,0.03125,0.0002850518324319,,covariate_shift,0.02,0.02,,,,,,,,,,,,,,,,,,,,
