regime,policy,policy_class,tau,attack,attack_class,mechanism,strength,n,n_material,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,containment,unsafe_allow_rate
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,135,0,135,0,0,465,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,83,0,83,0,0,517,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,345,0,345,0,0,255,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,250,0,250,0,0,350,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,182,0,182,0,0,418,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,386,0,386,0,0,214,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,301,0,301,0,0,299,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,248,0,248,0,0,352,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,174,173,1,0,423,3,0.005747126436781609,0.9942528735632183
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,17,17,0,0,579,4,0.0,1.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,2,2,0,0,594,4,0.0,1.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,237,215,22,0,338,25,0.09282700421940929,0.9071729957805907
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,59,51,8,0,502,39,0.13559322033898305,0.864406779661017
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,8,6,2,0,547,45,0.25,0.75
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,322,202,120,0,193,85,0.37267080745341613,0.6273291925465838
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,131,86,45,0,309,160,0.3435114503816794,0.6564885496183206
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,32,18,14,0,377,191,0.4375,0.5625
