all,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XF,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XF,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XF,family,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_Ym,union,600,0,0.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_Ym,family_v12,600,0,0.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_Ym,family,600,0,0.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY,family,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_XFY_trusted,exact,600,371,0.6183333333333333
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_X,union,600,600,1.0
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_X,family_v12,600,597,0.995
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_X,family,600,597,0.995
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XF,union,600,600,1.0
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XF,family_v12,600,592,0.9866666666666667
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XF,family,600,578,0.9633333333333334
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_Ym,union,600,0,0.0
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_Ym,family_v12,600,0,0.0
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_Ym,family,600,0,0.0
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY,union,600,600,1.0
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY,family_v12,600,591,0.985
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY,family,600,569,0.9483333333333334
all_environments,scaling_drift_alpha_0.020,control,scaling_drift,0.02,I_XFY_trusted,exact,600,322,0.5366666666666666
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_X,union,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_X,family_v12,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_X,family,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XF,union,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XF,family_v12,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XF,family,600,597,0.995
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_Ym,union,600,0,0.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_Ym,family_v12,600,0,0.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_Ym,family,600,0,0.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY,union,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY,family_v12,600,600,1.0
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY,family,600,594,0.99
all_environments,scaling_drift_alpha_0.050,control,scaling_drift,0.05,I_XFY_trusted,exact,600,365,0.6083333333333333
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_X,union,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_X,family_v12,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_X,family,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XF,union,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XF,family_v12,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XF,family,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_Ym,union,600,0,0.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_Ym,family_v12,600,0,0.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_Ym,family,600,0,0.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY,union,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY,family_v12,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY,family,600,600,1.0
all_environments,scaling_drift_alpha_0.100,control,scaling_drift,0.1,I_XFY_trusted,exact,600,401,0.6683333333333333
