protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus
id,id8c8771f4,qsvc_z_r1,8,target_shift,label_flip_r_0.100,0.03615612598783206,0.0,0.0,0.0,0.8042010283803709,0.023522534241389722,0.15691042981524456,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_r_0.100,0.03516380792265657,0.0,0.0,0.0,0.8042010283803709,0.014546286861169582,0.15283031736968997,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_r_0.100,0.034370017004051616,0.0,0.0,0.0,0.8042010283803709,0.01893483163509389,0.15482511044874647,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_r_0.100,0.03311886926228035,0.0,0.0,0.0,0.8042010283803709,0.014124703852158657,0.15263868872923045,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,8,target_shift,label_flip_r_0.050,0.030663417746241935,0.0,0.0,0.0,0.5169479983911013,0.023034566216812415,0.10446080253329679,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,12,target_shift,label_flip_r_0.050,0.03027833506789019,0.0,0.0,0.0,0.5169479983911013,0.012294418584439274,0.09957891724585444,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_r_0.050,0.030145356498368137,0.0,0.0,0.0,0.5169479983911013,0.013141533410619272,0.09996396943957263,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,8,target_shift,label_flip_r_0.050,0.02999139094734679,0.0,0.0,0.0,0.5169479983911013,0.02199006498105489,0.1039860292443161,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,10,target_shift,label_flip_r_0.050,0.029839095585035225,0.0,0.0,0.0,0.5169479983911013,0.013103520810182548,0.09994669098482867,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,12,target_shift,label_flip_r_0.050,0.0292039335470398,0.0,0.0,0.0,0.5169479983911013,0.012052278172275976,0.09946885342214386,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
