protocol,dataset_tag,model,svd_dim,metric,mean,std,ci95_low,ci95_high,n
id,id8c8771f4,svc_rbf,8,stealth_full_sharednorm_mean,0.01499537984746561,0.0009643816839893896,0.013797941829928863,0.016192817865002356,5
id,id8c8771f4,svc_rbf,10,impact_mean,0.01570746347602103,0.0017475424187112342,0.013537602969373359,0.0178773239826687,5
id,id8c8771f4,svc_rbf,10,detectability_standard_sharednorm_mean,0.13670555010433258,0.003616248887547393,0.13221538405212055,0.1411957161565446,5
id,id8c8771f4,svc_rbf,10,detectability_full_sharednorm_mean,0.07251114300374015,0.001579836439043416,0.0705495169743295,0.0744727690331508,5
id,id8c8771f4,svc_rbf,10,stealth_standard_sharednorm_mean,0.015415334165991935,0.0017530140408026215,0.013238679743181611,0.01759198858880226,5
id,id8c8771f4,svc_rbf,10,stealth_full_sharednorm_mean,0.01487797408662897,0.0016841553746347387,0.012786818990563638,0.016969129182694304,5
id,id8c8771f4,svc_rbf,12,impact_mean,0.016592493108161903,0.0016640513626328334,0.014526300440018793,0.01865868577630501,5
id,id8c8771f4,svc_rbf,12,detectability_standard_sharednorm_mean,0.1315774432103319,0.005543406152106953,0.12469439536383943,0.13846049105682437,5
id,id8c8771f4,svc_rbf,12,detectability_full_sharednorm_mean,0.07056409170090394,0.002498885643993319,0.0674613153611292,0.07366686804067868,5
id,id8c8771f4,svc_rbf,12,stealth_standard_sharednorm_mean,0.01623424245505731,0.0016073982457558732,0.014238393922526352,0.01823009098758827,5
id,id8c8771f4,svc_rbf,12,stealth_full_sharednorm_mean,0.015709429410503056,0.0015194370301778344,0.013822799152593589,0.017596059668412524,5
