protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit
id,id8c8771f4,qsvc_pauli_xyz_r1,8,46,44,0.015468020256326705,0.18790416424537013,0.20965947901276516,0.08641535418570365,0.04055548708629563,0.11038600544126782,0.011864945964263428,0.0135252419825252,18,46|44
id,id8c8771f4,qsvc_pauli_xyz_r1,8,46,45,0.03000810936288702,0.19469479436452575,0.20782792368845346,0.08887557316470082,0.07897091327595922,0.12762885522391013,0.01982722411536518,0.021650395053973533,18,46|45
id,id8c8771f4,qsvc_pauli_xyz_r1,10,42,42,0.025752118376446333,0.2304112708038327,0.23741865254119096,0.07638740501592309,0.05360344572911535,0.12458787716747152,0.020336404283688637,0.021757848680344923,18,42|42
id,id8c8771f4,qsvc_pauli_xyz_r1,10,42,43,0.024287098430243587,0.21428560432756957,0.22716309756959996,0.09721925447629062,0.017414180845260707,0.10819652758702587,0.019698326384308462,0.021131775061939563,18,42|43
id,id8c8771f4,qsvc_pauli_xyz_r1,10,42,44,0.03273171091798542,0.21588858721992196,0.22788346781412333,0.06423425544651948,0.09508463877903633,0.13776596145861036,0.018215634968965402,0.020414988355939693,18,42|44
id,id8c8771f4,qsvc_pauli_xyz_r1,10,42,45,0.027244437661104324,0.21252190090941137,0.22260427809185687,0.16666666666666666,0.04147822881229295,0.13010378088747507,0.022068886743555113,0.023238229419188135,18,42|45
id,id8c8771f4,qsvc_pauli_xyz_r1,10,43,42,0.02370109940478368,0.22799835624624634,0.23815299187169547,0.08641535418570365,0.033485866804039685,0.11753381907985344,0.01762685825999361,0.02038623698495433,18,43|42
id,id8c8771f4,qsvc_pauli_xyz_r1,10,43,43,0.03793292343359547,0.22578852592504134,0.22985814788259842,0.09721925447629062,0.07495572875133195,0.1353317949308759,0.02031855325515243,0.024058696312108177,18,43|43
id,id8c8771f4,qsvc_pauli_xyz_r1,10,43,44,0.020724755444177477,0.20041265493402066,0.20077868443115093,0.13194296057147867,0.049688634973303066,0.11958580306673422,0.019101421993344095,0.018724037989603575,18,43|44
id,id8c8771f4,qsvc_pauli_xyz_r1,10,43,45,0.040789707977207976,0.1877938848256299,0.2039205924604404,0.08024339560167054,0.08164156941561311,0.12585245528392439,0.02413917709511282,0.026496935704535016,18,43|45
