protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit,gate,max_train,max_test
id,id6292a46b,qsvc_zz_r1,8,44,42,0.04537871840114099,0.20880337052007591,0.23877223934533365,0.11727515281585174,0.21203614280834865,0.20452908882316193,0.027542496981305748,0.028823995390400987,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,44,43,0.036656896468724415,0.1992042244238686,0.22785650543472669,0.09721925447629062,0.1670597989412094,0.1764694113997759,0.027280450073333778,0.025482633507561605,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,45,42,0.02780317222483425,0.2053331750318027,0.23514779184783713,0.0920060883452081,0.22553390241657903,0.20475207783315086,0.021637632473877424,0.018880655523679853,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,45,43,0.030178973922911936,0.1993142160338011,0.22685615872989226,0.10220889783263903,0.18957193802957947,0.1872456473393404,0.023503286541351365,0.020708897050359276,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,46,42,0.05224973714557048,0.20574155553990217,0.2387041550900905,0.05555555555555555,0.1619278175545763,0.1705060744767595,0.034386589294027936,0.03526366962736412,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,46,43,0.03484067020693364,0.20374533075014828,0.23003544527448247,0.09875927420876114,0.15396003448697285,0.17158731835911967,0.022926022804445934,0.023564896251345783,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,42,42,0.05050971747040295,0.2215085854923094,0.24917806019968738,0.07638740501592309,0.1568113479339711,0.17577670822731375,0.024355216817270403,0.027252598538467048,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,42,43,0.048070954085739026,0.2036733361115717,0.23907383393560666,0.09721925447629062,0.11691056515287787,0.15775333367812702,0.03436153606701187,0.03554408532958445,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,43,42,0.0740511222006936,0.19293763642151773,0.22868610315589313,0.08641535418570365,0.1581340562077146,0.17074958200305024,0.04236014104408934,0.045840788637333964,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,43,43,0.06109777164044636,0.19056107358317065,0.21013551826702348,0.09721925447629062,0.14559677591631068,0.1602694965092935,0.04294937966149725,0.041485522565974875,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,44,42,0.048045858943395234,0.2024385532045983,0.2345824163184002,0.11727515281585174,0.23943367531077872,0.21545894067810892,0.02855833033658988,0.028097589527980152,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,44,43,0.05751632253648382,0.19784691391981227,0.22635127584059292,0.09721925447629062,0.18232050445294748,0.1828587395072446,0.043093302206556584,0.04002350193799921,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,45,42,0.04780278375147193,0.22328263867591142,0.22408355210845998,0.0920060883452081,0.14878154210056924,0.1658412814206457,0.029976135188668165,0.03229491531755494,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,45,43,0.0532373709633032,0.202343843782597,0.2361577900256496,0.10220889783263903,0.1339341068730036,0.16533813546662676,0.03402422415082451,0.035510573875494666,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,46,42,0.06787473714557048,0.19774982101526373,0.23548107567356602,0.05555555555555555,0.16944451532910942,0.17275072640462932,0.0406819637305165,0.04275426662637037,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,46,43,0.04628721164339443,0.2146502454891867,0.21792669443164997,0.09875927420876114,0.13164621087683429,0.15704148913893579,0.029192550389329077,0.030344431935970344,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,42,42,0.05441596747040295,0.22312953295564825,0.25612151163712016,0.07638740501592309,0.1779743125086357,0.18792112901122773,0.026402726713158978,0.028620548348610924,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,42,43,0.046755284179679335,0.20694882894048192,0.24369272429785604,0.09721925447629062,0.14917337103609085,0.17409784193858727,0.031637712483493945,0.03096664092195106,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,43,42,0.0857698722006936,0.18654202313882245,0.2256981259879309,0.08641535418570365,0.19294691168742842,0.18548707006911572,0.05362981964114373,0.051684227936447474,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,43,43,0.07151443830711303,0.18997781833290062,0.2096289998830607,0.09721925447629062,0.17808365003099583,0.17485206896725486,0.04770580734957581,0.04551085399914721,18,43|43,gate5a_id_unsw,128,128
