protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus,gate,max_train,max_test
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_r_0.100,0.04927883343698246,0.0,0.0,0.0,0.7708957440241865,0.022901446263058685,0.1505726108512424,5,2,0.0,0.0,0.0,0.0,0.04296875,0.0009251517779158,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_r_0.100,0.0492107559511365,0.0,0.0,0.0,0.7708957440241865,0.021507029934784882,0.14993878524748155,5,2,0.0,0.0,0.0,0.0,0.04296875,0.0009251517779158,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,idcc6a61e9,qsvc_pauli_xyz_r1,12,target_shift,label_flip_r_0.100,0.04855260586517151,0.0,0.0,0.0,0.8306353631849717,0.024859233289895144,0.16232426298358354,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,id6292a46b,qsvc_z_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.05409715702420198,0.02458961682918272,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.020130553583925768,0.009150251629057167,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate2_id_256,256,256
id,idcc6a61e9,qsvc_pauli_xyz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.022766450327151355,0.010348386512341526,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_z_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.022731116618635534,0.010332325735743424,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.025316471932145906,0.011507487241884504,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.02563135041835663,0.01165061382652574,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.02187882321048093,0.009944919641127696,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate3b_ood_tue_fri_portscan,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.03783877034167969,0.017199441064399863,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate6_ood_unsw,128,128
