protocol,dataset_tag,model,svd_dim,split_seed,impact_mean,stealth_full_sharednorm_mean,gate,max_train,max_test
id,idcc6a61e9,svc_rbf,12,46,0.01564918120264816,0.01477669500306018,gate5b_id_ton_iot,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,8,42,0.00803465703079278,0.005960002973074266,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,8,43,0.0741867444816644,0.03209202507601974,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,8,44,0.0,0.0,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,8,45,0.041279953933140205,0.021998686503148568,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,8,46,0.06784690276705799,0.02948120505497015,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,42,0.06574317959146589,0.03349505576067084,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,43,0.08204812413642092,0.03505859988740776,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,44,0.12051914276931938,0.05137123105463716,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,45,0.052998703933140205,0.02322491727862522,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,10,46,0.07828438988969255,0.03232179680709075,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,42,0.11016492444404094,0.049438925589873214,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,43,0.0838005284657842,0.035123827491999465,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,44,0.13308629886515563,0.056579258802439594,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,45,0.12864271983821518,0.05427829901613989,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,46,0.08133073410945396,0.03277250095143667,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,8,42,0.00023445944984923334,0.00014780433755847924,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,8,43,0.0004517010400141,0.0003310348941145597,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,8,44,0.00044849537037036945,0.0002248315818250043,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,8,45,0.00024112654320987498,0.0002344407060686093,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,8,46,0.0004873918488160277,0.0003948274635704714,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,10,42,0.0006684872276270112,0.0005362742196337269,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,10,43,0.0002346871511252111,0.0002225224414886985,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,10,44,0.00023148148148148054,0.00018634016174208376,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,10,45,0.00024112654320987498,0.0002353886174985354,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,10,46,0.0002703779599271389,0.0002571479040860134,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,12,42,0.0002310147849462361,0.0002267236640967958,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,12,43,0.0002523604133615361,0.00023926751453472265,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,12,44,0.0,0.0,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,12,45,2.4112654320986108e-05,2.31155184677587e-05,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,svc_rbf,12,46,0.0006937329234972666,0.000601248715639099,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,8,42,0.0006858216703646777,0.00048180716976740706,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,8,43,0.0005068259284180166,0.0004412976514703243,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,8,44,0.0004774305555555556,0.00019413336052926774,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,8,45,0.0015114410258405305,0.0011158055669779035,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,8,46,0.0,0.0,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,10,42,0.0024009314373897696,0.0021078867417238267,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,10,43,8.836631118161944e-05,7.081606036791952e-05,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,10,44,0.005953341380769786,0.004499983671681952,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,10,45,0.0008603993591738639,0.0006774993876062514,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,10,46,0.0,0.0,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,12,42,0.035050771776653084,0.022126530180505796,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,12,43,7.069304894529444e-05,5.579073862169345e-05,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,12,44,0.0026999586730960335,0.002271166949908792,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,12,45,0.007820019033254322,0.005035430965443076,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,qsvc_zz_r1,12,46,0.0,0.0,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,8,42,2.0890225863341666e-05,1.7980527583398376e-05,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,8,43,0.0006916604278835416,0.0006574691609875105,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,8,44,0.0007233796296296277,0.00039409142557999107,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,8,45,3.444664902997222e-06,3.051473357587536e-06,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,8,46,0.002176952116417681,0.0017489951812766791,gate3a_ood_tue_wed,128,128
