gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,impact_bal_acc,bal_acc,bal_acc_clean,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_priority_group,atk_strength_nominal,atk_strength_eff,atk_sham_type,atk_pool_half,atk_draw_index,atk_n_pool_half,atk_n_pool_total,atk_n_samples,atk_n_features,atk_pos_rate_draw,atk_pool_sampling,atk_sigma,atk_mean_abs_delta,atk_max_abs_delta,atk_alpha
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_02,null_control,null_evaluation,0.0,0.782274308734664,0.75,0.0292883651793613,0.0,0.0,0.0291658263969574,0.03515625,0.0006762124583316,0.00390625,7.629530352796501e-06,0.0703125,0.0011404166923757,0.48046875,0.0703125,0.0011404166923757,0.49609375,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,2.0,322.0,644.0,256.0,8.0,0.50390625,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_03,null_control,null_evaluation,0.0,0.7638303074760071,0.75,0.0301176476328774,0.017517612182055,0.0,0.0301706501486117,0.0078125,3.4007227108287e-05,0.01953125,0.0001908198068629,0.046875,0.0004663680684545,0.4609375,0.046875,0.0004663680684545,0.51171875,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,3.0,322.0,644.0,256.0,8.0,0.48046875,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_04,null_control,null_evaluation,0.0,0.8016541536959043,0.75,0.0282577496863836,0.0,0.0,0.0311444825068258,0.0546875,0.0016173560870565,0.00390625,7.629530352796501e-06,0.109375,0.0029531627168419,0.484375,0.109375,0.0029531627168419,0.48828125,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,4.0,322.0,644.0,256.0,8.0,0.50390625,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_05,null_control,null_evaluation,0.0,0.7675824175824176,0.75,0.0303322362890814,0.0160616108183646,0.25,0.0310015908267795,0.03515625,0.0006762124583316,0.0078125,3.051975144599192e-05,0.0703125,0.0012204839066876,0.48046875,0.0703125,0.0012204839066876,0.5078125,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,5.0,322.0,644.0,256.0,8.0,0.4921875,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_06,null_control,null_evaluation,0.0,0.76953125,0.75,0.0299202915446371,0.0,0.0,0.0352288704240251,0.03515625,0.0006762124583316,0.0,0.0,0.0703125,0.0009684275728413,0.46484375,0.0703125,0.0009684275728413,0.4609375,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,6.0,322.0,644.0,256.0,8.0,0.5,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_07,null_control,null_evaluation,0.0,0.762833424891656,0.75,0.0299505174056585,0.0181731742160024,0.25,0.0281429502842946,0.0234375,0.0003028083369322,0.00390625,7.629530352796501e-06,0.046875,0.0003700730906739,0.46875,0.046875,0.0003700730906739,0.51953125,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,7.0,322.0,644.0,256.0,8.0,0.50390625,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_08,null_control,null_evaluation,0.0,0.7601541472963054,0.75,0.0295191583916779,0.0,0.0,0.0342062815195939,0.04296875,0.0010053228888588,0.0234375,0.0002748343945789,0.0859375,0.0010226586561776,0.49609375,0.0859375,0.0010226586561776,0.4765625,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,8.0,322.0,644.0,256.0,8.0,0.5234375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_09,null_control,null_evaluation,0.0,0.7679838512356252,0.75,0.0299102845475437,0.0,0.0,0.0326504359355217,0.04296875,0.0010053228888588,0.0234375,0.0002748343945789,0.0859375,0.0010172809940622,0.48046875,0.0859375,0.0010172809940622,0.4921875,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,9.0,322.0,644.0,256.0,8.0,0.5234375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_10,null_control,null_evaluation,0.0,0.7636752136752136,0.75,0.0285687902240074,0.0,0.0,0.0388899186573606,0.04296875,0.0010053228888588,0.0078125,3.051975144599192e-05,0.0859375,0.0012065438022579,0.46484375,0.0859375,0.0012065438022579,0.4765625,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,10.0,322.0,644.0,256.0,8.0,0.5078125,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_11,null_control,null_evaluation,0.0,0.764793893129771,0.75,0.0275973763414146,0.0,0.0,0.0331128278998421,0.0390625,0.0008328164480711,0.01171875,6.867555470620136e-05,0.078125,0.0009071304561419,0.4609375,0.078125,0.0009071304561419,0.51953125,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,11.0,322.0,644.0,256.0,8.0,0.51171875,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_12,null_control,null_evaluation,0.0,0.7734375,0.75,0.0294320762427082,0.0084553771748336,0.125,0.0333320857941277,0.03125,0.0005356078585013,0.0,0.0,0.0625,0.0008353046524829,0.4609375,0.0625,0.0008353046524829,0.515625,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,12.0,322.0,644.0,256.0,8.0,0.5,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_13,null_control,null_evaluation,0.0,0.7801989867545627,0.75,0.028898846820005,0.0,0.125,0.0312234725938764,0.02734375,0.0004111043140826,0.00390625,7.629530352796501e-06,0.0625,0.000947509000391,0.42578125,0.0625,0.000947509000391,0.46484375,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,13.0,322.0,644.0,256.0,8.0,0.49609375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_14,null_control,null_evaluation,0.0,0.8007213154838315,0.75,0.0282389696981542,0.0,0.125,0.0299256917841101,0.05078125,0.0013976783264745,0.01953125,0.0001908198068629,0.125,0.0037271431819952,0.46484375,0.125,0.0037271431819952,0.44921875,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,14.0,322.0,644.0,256.0,8.0,0.48046875,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_15,null_control,null_evaluation,0.0,0.7655180840664711,0.75,0.0312543075245333,0.0296671876652963,0.375,0.0364804836895054,0.02734375,0.0004111043140826,0.015625,0.0001221050969211,0.0625,0.0010965045144943,0.43359375,0.0625,0.0010965045144943,0.4296875,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,15.0,322.0,644.0,256.0,8.0,0.484375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_16,null_control,null_evaluation,0.0,0.783028083028083,0.75,0.0289712857636315,0.0,0.25,0.0327380962278778,0.0546875,0.0016173560870565,0.0078125,3.051975144599192e-05,0.109375,0.0021188389498429,0.4453125,0.109375,0.0021188389498429,0.5,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,16.0,322.0,644.0,256.0,8.0,0.5078125,simple_random_without_replacement,,,,
