gate,svd_dim,split_seed,model_seed,n_eval,near_duplicate_rows_1e-6,near_duplicate_row_fraction_1e-6,max_cluster_mass_width_0.01sd,mean_cluster_mass_width_0.01sd,max_cluster_mass_width_0.001sd,n_features_cluster_ge_0.20_width_0.01sd,n_features
gate3b_ood_tue_fri_portscan,10,45,42,128,16,0.125,0.8671875,0.75546875,0.8359375,10,10
gate3b_ood_tue_fri_portscan,10,45,43,128,18,0.140625,0.875,0.7609375,0.8046875,10,10
gate3b_ood_tue_fri_portscan,10,46,42,128,20,0.15625,0.890625,0.7375,0.828125,10,10
gate3b_ood_tue_fri_portscan,10,46,43,128,15,0.1171875,0.921875,0.80390625,0.8515625,10,10
gate3b_ood_tue_fri_portscan,12,42,42,128,17,0.1328125,0.84375,0.7154947916666666,0.78125,12,12
gate3b_ood_tue_fri_portscan,12,42,43,128,14,0.109375,0.8515625,0.7200520833333334,0.8359375,12,12
gate3b_ood_tue_fri_portscan,12,43,42,128,17,0.1328125,0.875,0.7311197916666666,0.8046875,12,12
gate3b_ood_tue_fri_portscan,12,43,43,128,14,0.109375,0.8515625,0.7389322916666666,0.796875,12,12
gate3b_ood_tue_fri_portscan,12,44,42,128,18,0.140625,0.828125,0.6985677083333334,0.78125,12,12
gate3b_ood_tue_fri_portscan,12,44,43,128,16,0.125,0.9140625,0.7858072916666666,0.8984375,12,12
gate3b_ood_tue_fri_portscan,12,45,42,128,16,0.125,0.8671875,0.755859375,0.8359375,12,12
gate3b_ood_tue_fri_portscan,12,45,43,128,18,0.140625,0.875,0.7578125,0.8046875,12,12
gate3b_ood_tue_fri_portscan,12,46,42,128,20,0.15625,0.890625,0.7330729166666666,0.828125,12,12
gate3b_ood_tue_fri_portscan,12,46,43,128,14,0.109375,0.921875,0.8040364583333334,0.8515625,12,12
gate3c_ood_wed_thu_webattacks,8,42,42,128,0,0.0,0.7578125,0.4404296875,0.59375,8,8
gate3c_ood_wed_thu_webattacks,8,42,43,128,0,0.0,0.8359375,0.462890625,0.6015625,8,8
gate3c_ood_wed_thu_webattacks,8,43,42,128,0,0.0,0.8515625,0.4267578125,0.6171875,8,8
gate3c_ood_wed_thu_webattacks,8,43,43,128,1,0.0078125,0.890625,0.4521484375,0.828125,8,8
gate3c_ood_wed_thu_webattacks,8,44,42,128,2,0.015625,0.859375,0.44921875,0.828125,8,8
gate3c_ood_wed_thu_webattacks,8,44,43,128,0,0.0,0.7734375,0.451171875,0.59375,8,8
gate3c_ood_wed_thu_webattacks,8,45,42,128,1,0.0078125,0.8359375,0.447265625,0.7109375,8,8
gate3c_ood_wed_thu_webattacks,8,45,43,128,0,0.0,0.796875,0.4873046875,0.7265625,8,8
gate3c_ood_wed_thu_webattacks,8,46,42,128,1,0.0078125,0.8125,0.466796875,0.6484375,8,8
gate3c_ood_wed_thu_webattacks,8,46,43,128,1,0.0078125,0.859375,0.462890625,0.8125,8,8
gate3c_ood_wed_thu_webattacks,10,42,42,128,0,0.0,0.7578125,0.41640625,0.59375,10,10
gate3c_ood_wed_thu_webattacks,10,42,43,128,0,0.0,0.8359375,0.42890625,0.6015625,10,10
gate3c_ood_wed_thu_webattacks,10,43,42,128,0,0.0,0.8515625,0.39921875,0.6171875,10,10
gate3c_ood_wed_thu_webattacks,10,43,43,128,1,0.0078125,0.890625,0.42265625,0.828125,10,10
gate3c_ood_wed_thu_webattacks,10,44,42,128,0,0.0,0.859375,0.425,0.828125,10,10
gate3c_ood_wed_thu_webattacks,10,44,43,128,0,0.0,0.7734375,0.42421875,0.59375,10,10
gate3c_ood_wed_thu_webattacks,10,45,42,128,1,0.0078125,0.8359375,0.42265625,0.7109375,10,10
gate3c_ood_wed_thu_webattacks,10,45,43,128,0,0.0,0.796875,0.46328125,0.7265625,10,10
gate3c_ood_wed_thu_webattacks,10,46,42,128,1,0.0078125,0.8125,0.45859375,0.6484375,10,10
gate3c_ood_wed_thu_webattacks,10,46,43,128,1,0.0078125,0.859375,0.42734375,0.8125,10,10
gate3c_ood_wed_thu_webattacks,12,42,42,128,0,0.0,0.7578125,0.4055989583333333,0.59375,12,12
gate3c_ood_wed_thu_webattacks,12,42,43,128,0,0.0,0.8359375,0.404296875,0.6015625,12,12
gate3c_ood_wed_thu_webattacks,12,43,42,128,0,0.0,0.8515625,0.396484375,0.6171875,12,12
gate3c_ood_wed_thu_webattacks,12,43,43,128,1,0.0078125,0.890625,0.4036458333333333,0.828125,12,12
gate3c_ood_wed_thu_webattacks,12,44,42,128,0,0.0,0.859375,0.4016927083333333,0.828125,12,12
gate3c_ood_wed_thu_webattacks,12,44,43,128,0,0.0,0.7734375,0.4055989583333333,0.59375,12,12
gate3c_ood_wed_thu_webattacks,12,45,42,128,1,0.0078125,0.8359375,0.412109375,0.7109375,12,12
gate3c_ood_wed_thu_webattacks,12,45,43,128,0,0.0,0.796875,0.44921875,0.7265625,12,12
gate3c_ood_wed_thu_webattacks,12,46,42,128,1,0.0078125,0.8125,0.4479166666666667,0.6484375,12,12
gate3c_ood_wed_thu_webattacks,12,46,43,128,1,0.0078125,0.859375,0.4140625,0.8125,12,12
gate3d_ood_wed_fri_morning,8,42,42,128,8,0.0625,0.78125,0.703125,0.6796875,8,8
gate3d_ood_wed_fri_morning,8,42,43,128,3,0.0234375,0.765625,0.7158203125,0.671875,8,8
