gate,svd_dim,model,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
gate2_id_256,12,svc_rbf,integrity_jsd_vs_clean_eval,sensor,200,21,0.105,0.06618122702871179,0.15601870554750288
gate2_id_256,12,svc_rbf,integrity_mmd_vs_clean_eval,sensor,200,33,0.165,0.11638311995805393,0.22384346771182057
gate2_id_256,12,svc_rbf,integrity_ks_reject05_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate2_id_256,12,svc_rbf,integrity_score_jsd_vs_clean_eval,sensor,200,8,0.04,0.017424808994480605,0.07729196822601608
gate2_id_256,12,svc_rbf,integrity_pred_pos_rate_shift,sensor,200,1,0.005,0.00012658102786701836,0.027541898457205637
gate2_id_256,12,svc_rbf,integrity_pred_jsd,sensor,200,3,0.015,0.00310410762155351,0.04320828191771261
gate2_id_256,12,svc_rbf,integrity_label_prior_shift,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,12,svc_rbf,integrity_label_jsd,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,12,svc_rbf,integrity_confusion_profile_l1,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate2_id_256,12,svc_rbf,integrity_confusion_profile_jsd,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate2_id_256,12,svc_rbf,I_X,regime,200,51,0.255,0.19614081520045826,0.3212753966387206
gate2_id_256,12,svc_rbf,I_XF,regime,200,52,0.26,0.20068485487634063,0.3265777536571397
gate2_id_256,12,svc_rbf,I_Ym,regime,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,12,svc_rbf,I_XFY,regime,200,59,0.295,0.23276878422312478,0.3634231333179103
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_jsd_vs_clean_eval,sensor,200,16,0.08,0.04641760839982258,0.1266648560220817
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_mmd_vs_clean_eval,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,sensor,200,11,0.055,0.027772254552006544,0.09627764443391293
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_pred_pos_rate_shift,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_pred_jsd,sensor,200,2,0.01,0.001213349013736031,0.03565466839723975
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_l1,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_jsd,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_X,regime,200,31,0.155,0.10780940010409655,0.21273764321570587
