gate,model,svd_dim,split_seed,model_seed,model_tuning,model_C,model_gamma,model_cv_bal_acc
gate1_id_cicids,svc_rbf,10,43,42,cv5,10.0,0.01,0.7589743589743589
gate1_id_cicids,svc_rbf,10,43,43,cv5,10.0,scale,0.7506410256410257
gate1_id_cicids,svc_rbf,10,44,42,cv5,10.0,0.01,0.7576923076923077
gate1_id_cicids,svc_rbf,10,44,43,cv5,100.0,scale,0.7961538461538462
gate1_id_cicids,svc_rbf,10,45,42,cv5,1.0,1.0,0.7891025641025642
gate1_id_cicids,svc_rbf,10,45,43,cv5,100.0,1.0,0.7910256410256411
gate1_id_cicids,svc_rbf,10,46,42,cv5,10.0,scale,0.8025641025641026
gate1_id_cicids,svc_rbf,10,46,43,cv5,1.0,1.0,0.8121794871794872
gate1_id_cicids,svc_rbf,12,42,42,cv5,1.0,scale,0.7903846153846155
gate1_id_cicids,svc_rbf,12,42,43,cv5,10.0,0.01,0.7564102564102563
gate1_id_cicids,svc_rbf,12,43,42,cv5,10.0,0.01,0.7743589743589745
gate1_id_cicids,svc_rbf,12,43,43,cv5,10.0,scale,0.7737179487179487
gate1_id_cicids,svc_rbf,12,44,42,cv5,10.0,0.01,0.7737179487179487
gate1_id_cicids,svc_rbf,12,44,43,cv5,10.0,0.1,0.8275641025641027
gate1_id_cicids,svc_rbf,12,45,42,cv5,100.0,scale,0.8121794871794872
gate1_id_cicids,svc_rbf,12,45,43,cv5,1.0,0.1,0.8371794871794872
gate1_id_cicids,svc_rbf,12,46,42,cv5,10.0,0.01,0.8108974358974359
gate1_id_cicids,svc_rbf,12,46,43,cv5,100.0,0.01,0.8506410256410257
gate6_ood_unsw,qsvc_zz_r1,8,42,42,cv5,1.0,,0.8288461538461538
gate6_ood_unsw,qsvc_zz_r1,8,42,43,cv5,10.0,,0.7653846153846153
gate6_ood_unsw,qsvc_zz_r1,8,43,42,cv5,1.0,,0.7737179487179487
gate6_ood_unsw,qsvc_zz_r1,8,43,43,cv5,1.0,,0.782051282051282
gate6_ood_unsw,qsvc_zz_r1,8,44,42,cv5,10.0,,0.7506410256410256
gate6_ood_unsw,qsvc_zz_r1,8,44,43,cv5,10.0,,0.8115384615384615
gate6_ood_unsw,qsvc_zz_r1,8,45,42,cv5,10.0,,0.8115384615384617
gate6_ood_unsw,qsvc_zz_r1,8,45,43,cv5,1.0,,0.7878205128205128
gate6_ood_unsw,qsvc_zz_r1,8,46,42,cv5,1.0,,0.7948717948717949
gate6_ood_unsw,qsvc_zz_r1,8,46,43,cv5,1.0,,0.7737179487179487
gate6_ood_unsw,qsvc_zz_r1,10,42,42,cv5,10.0,,0.8217948717948718
gate6_ood_unsw,qsvc_zz_r1,10,42,43,cv5,10.0,,0.7878205128205128
gate6_ood_unsw,qsvc_zz_r1,10,43,42,cv5,10.0,,0.7737179487179487
gate6_ood_unsw,qsvc_zz_r1,10,43,43,cv5,1.0,,0.782051282051282
gate6_ood_unsw,qsvc_zz_r1,10,44,42,cv5,10.0,,0.7506410256410256
gate6_ood_unsw,qsvc_zz_r1,10,44,43,cv5,1.0,,0.8108974358974359
gate6_ood_unsw,qsvc_zz_r1,10,45,42,cv5,10.0,,0.7878205128205129
gate6_ood_unsw,qsvc_zz_r1,10,45,43,cv5,1.0,,0.7801282051282051
gate6_ood_unsw,qsvc_zz_r1,10,46,42,cv5,1.0,,0.7794871794871796
gate6_ood_unsw,qsvc_zz_r1,10,46,43,cv5,10.0,,0.782051282051282
gate6_ood_unsw,qsvc_zz_r1,12,42,42,cv5,1.0,,0.8128205128205128
gate6_ood_unsw,qsvc_zz_r1,12,42,43,cv5,10.0,,0.7724358974358975
gate6_ood_unsw,qsvc_zz_r1,12,43,42,cv5,10.0,,0.7660256410256411
gate6_ood_unsw,qsvc_zz_r1,12,43,43,cv5,1.0,,0.782051282051282
gate6_ood_unsw,qsvc_zz_r1,12,44,42,cv5,1.0,,0.7185897435897436
gate6_ood_unsw,qsvc_zz_r1,12,44,43,cv5,1.0,,0.8108974358974359
gate6_ood_unsw,qsvc_zz_r1,12,45,42,cv5,1.0,,0.7730769230769231
gate6_ood_unsw,qsvc_zz_r1,12,45,43,cv5,1.0,,0.7878205128205128
gate6_ood_unsw,qsvc_zz_r1,12,46,42,cv5,10.0,,0.7871794871794873
gate6_ood_unsw,qsvc_zz_r1,12,46,43,cv5,1.0,,0.7814102564102564
gate6_ood_unsw,svc_rbf,8,42,42,cv5,10.0,1.0,0.8455128205128204
gate6_ood_unsw,svc_rbf,8,42,43,cv5,100.0,scale,0.8429487179487181
gate6_ood_unsw,svc_rbf,8,43,42,cv5,100.0,scale,0.8435897435897436
gate6_ood_unsw,svc_rbf,8,43,43,cv5,10.0,0.1,0.8506410256410255
gate6_ood_unsw,svc_rbf,8,44,42,cv5,100.0,0.01,0.8532051282051283
gate6_ood_unsw,svc_rbf,8,44,43,cv5,10.0,0.01,0.8346153846153846
gate6_ood_unsw,svc_rbf,8,45,42,cv5,100.0,1.0,0.8128205128205128
gate6_ood_unsw,svc_rbf,8,45,43,cv5,10.0,0.01,0.8275641025641025
gate6_ood_unsw,svc_rbf,8,46,42,cv5,1.0,0.1,0.8108974358974359
gate6_ood_unsw,svc_rbf,8,46,43,cv5,10.0,0.1,0.7506410256410256
gate6_ood_unsw,svc_rbf,10,42,42,cv5,10.0,1.0,0.8532051282051281
gate6_ood_unsw,svc_rbf,10,42,43,cv5,10.0,0.01,0.8358974358974359
gate6_ood_unsw,svc_rbf,10,43,42,cv5,100.0,scale,0.8435897435897436
gate6_ood_unsw,svc_rbf,10,43,43,cv5,10.0,scale,0.8506410256410255
gate6_ood_unsw,svc_rbf,10,44,42,cv5,100.0,0.01,0.8532051282051283
gate6_ood_unsw,svc_rbf,10,44,43,cv5,10.0,0.01,0.8423076923076923
gate6_ood_unsw,svc_rbf,10,45,42,cv5,10.0,1.0,0.8121794871794872
gate6_ood_unsw,svc_rbf,10,45,43,cv5,100.0,1.0,0.8288461538461538
gate6_ood_unsw,svc_rbf,10,46,42,cv5,10.0,0.01,0.8108974358974359
gate6_ood_unsw,svc_rbf,10,46,43,cv5,100.0,scale,0.7583333333333334
gate6_ood_unsw,svc_rbf,12,42,42,cv5,10.0,scale,0.8673076923076923
gate6_ood_unsw,svc_rbf,12,42,43,cv5,10.0,0.1,0.8358974358974359
gate6_ood_unsw,svc_rbf,12,43,42,cv5,100.0,scale,0.8589743589743589
gate6_ood_unsw,svc_rbf,12,43,43,cv5,10.0,scale,0.8583333333333336
gate6_ood_unsw,svc_rbf,12,44,42,cv5,100.0,0.1,0.8685897435897436
gate6_ood_unsw,svc_rbf,12,44,43,cv5,10.0,0.01,0.8423076923076923
gate6_ood_unsw,svc_rbf,12,45,42,cv5,0.1,1.0,0.7961538461538462
gate6_ood_unsw,svc_rbf,12,45,43,cv5,100.0,scale,0.8570512820512821
gate6_ood_unsw,svc_rbf,12,46,42,cv5,100.0,0.01,0.8339743589743589
gate6_ood_unsw,svc_rbf,12,46,43,cv5,1.0,1.0,0.7570512820512821
