all,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_confusion_profile_jsd,sensor,600,69,0.115,0.09058684387776274,0.14327585224303516
all_environments,covariate_shift,mean_shift_pf_delta_0.050,I_X,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.050,I_XF,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.050,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.050,I_XFY,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_pred_disagreement,sensor_exact,600,300,0.5,0.4592436802668269,0.5407563197331731
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_confusion_profile_l1_delta,sensor_exact,600,298,0.49666666666666665,0.45592771121941816,0.5374385799642389
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_confusion_profile_jsd_delta,sensor_exact,600,298,0.49666666666666665,0.45592771121941816,0.5374385799642389
all_environments,covariate_shift,mean_shift_pf_delta_0.050,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.050,I_XF_item_aligned,regime_exact,600,300,0.5,0.4592436802668269,0.5407563197331731
all_environments,covariate_shift,mean_shift_pf_delta_0.050,I_XFY_item_aligned,regime_exact,600,300,0.5,0.4592436802668269,0.5407563197331731
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_jsd_vs_clean_eval,sensor,600,509,0.8483333333333334,0.8170917372926838,0.8760955123648471
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_mmd_vs_clean_eval,sensor,600,276,0.46,0.41956913864203943,0.5008263886408955
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_ks_reject05_vs_clean_eval,sensor,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_score_jsd_vs_clean_eval,sensor,600,533,0.8883333333333333,0.8603632308522164,0.9124052987261879
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_pred_pos_rate_shift,sensor,600,133,0.22166666666666668,0.18903579084477923,0.2570641636659723
