gate,attack_family,attack,regime,rule,n,n_fire,detection_rate
gate2_id_256,target_shift,label_flip_r_0.020,I_X,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_X,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_X,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_XF,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_XF,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_XF,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_Ym,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_Ym,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_Ym,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_XFY,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_XFY,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.020,I_XFY,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_X,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_X,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_X,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_XF,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_XF,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_XF,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_Ym,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_Ym,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_Ym,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_XFY,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_XFY,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.050,I_XFY,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_X,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_X,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_X,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_XF,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_XF,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_XF,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_Ym,union,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_Ym,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_Ym,family,60,0,0.0
gate2_id_256,target_shift,label_flip_r_0.100,I_XFY,union,60,11,0.18333333333333332
gate2_id_256,target_shift,label_flip_r_0.100,I_XFY,family_v12,60,5,0.08333333333333333
gate2_id_256,target_shift,label_flip_r_0.100,I_XFY,family,60,4,0.06666666666666667
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_X,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_X,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_X,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_XF,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_XF,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_XF,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_Ym,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_Ym,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_Ym,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_XFY,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_XFY,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.020,I_XFY,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_X,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_X,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_X,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_XF,union,60,4,0.06666666666666667
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_XF,family_v12,60,3,0.05
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_XF,family,60,3,0.05
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_Ym,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_Ym,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_Ym,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_XFY,union,60,4,0.06666666666666667
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_XFY,family_v12,60,3,0.05
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.050,I_XFY,family,60,3,0.05
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_X,union,60,31,0.5166666666666667
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_X,family_v12,60,27,0.45
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_X,family,60,26,0.43333333333333335
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_XF,union,60,52,0.8666666666666667
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_XF,family_v12,60,40,0.6666666666666666
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_XF,family,60,38,0.6333333333333333
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_Ym,union,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_Ym,family_v12,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_Ym,family,60,0,0.0
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_XFY,union,60,52,0.8666666666666667
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_XFY,family_v12,60,38,0.6333333333333333
gate3a_ood_tue_wed,corruption,feature_sign_flip_p_0.100,I_XFY,family,60,35,0.5833333333333334
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_X,union,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_X,family_v12,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_X,family,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_XF,union,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_XF,family_v12,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_XF,family,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,union,60,0,0.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,family_v12,60,0,0.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,family,60,0,0.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,union,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,family_v12,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,family,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_X,union,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_X,family_v12,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_X,family,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_XF,union,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_XF,family_v12,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_XF,family,60,60,1.0
gate3a_ood_tue_wed,covariate_shift,mean_shift_pf_delta_0.050,I_Ym,union,60,0,0.0
