gate,attack_family,attack,regime,rule,n,n_fire,detection_rate
gate2_id_256,pipeline,feature_dropout_p_0.100,I_X,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_XF,union,60,2,0.03333333333333333
gate2_id_256,pipeline,feature_dropout_p_0.100,I_XF,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_XF,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_Ym,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_Ym,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_Ym,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_XFY,union,60,2,0.03333333333333333
gate2_id_256,pipeline,feature_dropout_p_0.100,I_XFY,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_XFY,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_X,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_X,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_X,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_XF,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_XF,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_XF,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_Ym,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_Ym,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_Ym,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_XFY,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_XFY,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.020,I_XFY,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_X,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_X,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_X,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_XF,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_XF,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_XF,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_Ym,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_Ym,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_Ym,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_XFY,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_XFY,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.050,I_XFY,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_X,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_X,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_X,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_XF,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_XF,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_XF,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_Ym,union,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_Ym,family_v12,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_Ym,family,60,0,0.0
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_XFY,union,60,9,0.15
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_XFY,family_v12,60,7,0.11666666666666667
gate2_id_256,target_shift,label_flip_prior_preserving_r_0.100,I_XFY,family,60,6,0.1
