family_rule,gate,regime,policy,tau,n_clean,decision_fpr,benign_interruption_rate,n_material,unsafe_allow,containment
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_X,union_uncalibrated,0.0,1200,0.07,0.9583333333333334,545,298,0.45321100917431195
v12_asymmetric,gate3d_ood_wed_fri_morning,I_X,union_uncalibrated,0.0,1200,0.1325,1.0,479,238,0.5031315240083507
v12_asymmetric,gate5a_id_unsw,I_X,union_uncalibrated,0.0,2400,0.06333333333333334,0.44583333333333336,1742,1147,0.3415614236509759
v12_asymmetric,gate5b_id_ton_iot,I_X,union_uncalibrated,0.0,2400,0.215,0.7458333333333333,1679,1016,0.39487790351399643
v12_asymmetric,gate6_ood_unsw,I_X,union_uncalibrated,0.0,1200,0.07166666666666667,0.24166666666666667,852,606,0.2887323943661972
v12_asymmetric,gate2_id_256,I_X,family_calibrated,0.0,1200,0.1325,1.0,830,596,0.2819277108433735
v12_asymmetric,gate3a_ood_tue_wed,I_X,family_calibrated,0.0,1200,0.09833333333333333,0.9583333333333334,457,294,0.35667396061269147
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_X,family_calibrated,0.0,1200,0.03916666666666667,1.0,424,242,0.42924528301886794
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_X,family_calibrated,0.0,1200,0.04416666666666667,0.725,545,308,0.43486238532110094
v12_asymmetric,gate3d_ood_wed_fri_morning,I_X,family_calibrated,0.0,1200,0.06,1.0,479,242,0.49478079331941544
v12_asymmetric,gate5a_id_unsw,I_X,family_calibrated,0.0,2400,0.025416666666666667,0.24166666666666667,1742,1162,0.33295063145809417
v12_asymmetric,gate5b_id_ton_iot,I_X,family_calibrated,0.0,2400,0.07125,0.3416666666666667,1679,1037,0.3823704586063133
v12_asymmetric,gate6_ood_unsw,I_X,family_calibrated,0.0,1200,0.043333333333333335,0.0,852,613,0.2805164319248826
v12_asymmetric,gate2_id_256,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,830,0,1.0
v12_asymmetric,gate3a_ood_tue_wed,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,457,0,1.0
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,424,0,1.0
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,545,0,1.0
v12_asymmetric,gate3d_ood_wed_fri_morning,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,479,0,1.0
v12_asymmetric,gate5a_id_unsw,I_X,family_calibrated_strict,0.0,2400,1.0,1.0,1742,0,1.0
v12_asymmetric,gate5b_id_ton_iot,I_X,family_calibrated_strict,0.0,2400,1.0,1.0,1679,0,1.0
v12_asymmetric,gate6_ood_unsw,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,852,0,1.0
v12_asymmetric,gate2_id_256,I_XF,serve_always,0.0,1200,0.0,0.0,830,830,0.0
v12_asymmetric,gate3a_ood_tue_wed,I_XF,serve_always,0.0,1200,0.0,0.0,457,457,0.0
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_XF,serve_always,0.0,1200,0.0,0.0,424,424,0.0
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_XF,serve_always,0.0,1200,0.0,0.0,545,545,0.0
v12_asymmetric,gate3d_ood_wed_fri_morning,I_XF,serve_always,0.0,1200,0.0,0.0,479,479,0.0
v12_asymmetric,gate5a_id_unsw,I_XF,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
v12_asymmetric,gate5b_id_ton_iot,I_XF,serve_always,0.0,2400,0.0,0.0,1679,1679,0.0
v12_asymmetric,gate6_ood_unsw,I_XF,serve_always,0.0,1200,0.0,0.0,852,852,0.0
v12_asymmetric,gate2_id_256,I_XF,union_uncalibrated,0.0,1200,0.245,1.0,830,541,0.3481927710843373
v12_asymmetric,gate3a_ood_tue_wed,I_XF,union_uncalibrated,0.0,1200,0.23,0.975,457,279,0.38949671772428884
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_XF,union_uncalibrated,0.0,1200,0.16,1.0,424,237,0.4410377358490566
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_XF,union_uncalibrated,0.0,1200,0.1625,0.9583333333333334,545,248,0.544954128440367
v12_asymmetric,gate3d_ood_wed_fri_morning,I_XF,union_uncalibrated,0.0,1200,0.2125,1.0,479,217,0.5469728601252609
v12_asymmetric,gate5a_id_unsw,I_XF,union_uncalibrated,0.0,2400,0.135,0.44583333333333336,1742,1129,0.351894374282434
v12_asymmetric,gate5b_id_ton_iot,I_XF,union_uncalibrated,0.0,2400,0.28,0.7583333333333333,1679,982,0.4151280524121501
v12_asymmetric,gate6_ood_unsw,I_XF,union_uncalibrated,0.0,1200,0.19166666666666668,0.24166666666666667,852,598,0.2981220657276995
v12_asymmetric,gate2_id_256,I_XF,family_calibrated,0.0,1200,0.125,1.0,830,549,0.3385542168674699
v12_asymmetric,gate3a_ood_tue_wed,I_XF,family_calibrated,0.0,1200,0.095,0.9583333333333334,457,285,0.37636761487964987
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_XF,family_calibrated,0.0,1200,0.045,1.0,424,244,0.42452830188679247
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_XF,family_calibrated,0.0,1200,0.05416666666666667,0.6583333333333333,545,264,0.5155963302752293
v12_asymmetric,gate3d_ood_wed_fri_morning,I_XF,family_calibrated,0.0,1200,0.06333333333333334,1.0,479,220,0.5407098121085595
v12_asymmetric,gate5a_id_unsw,I_XF,family_calibrated,0.0,2400,0.050833333333333335,0.19166666666666668,1742,1149,0.3404133180252583
v12_asymmetric,gate5b_id_ton_iot,I_XF,family_calibrated,0.0,2400,0.08833333333333333,0.2,1679,1004,0.40202501488981535
v12_asymmetric,gate6_ood_unsw,I_XF,family_calibrated,0.0,1200,0.065,0.0,852,612,0.28169014084507044
v12_asymmetric,gate2_id_256,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,830,0,1.0
v12_asymmetric,gate3a_ood_tue_wed,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,457,0,1.0
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,424,0,1.0
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,545,0,1.0
v12_asymmetric,gate3d_ood_wed_fri_morning,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,479,0,1.0
v12_asymmetric,gate5a_id_unsw,I_XF,family_calibrated_strict,0.0,2400,1.0,1.0,1742,0,1.0
v12_asymmetric,gate5b_id_ton_iot,I_XF,family_calibrated_strict,0.0,2400,1.0,1.0,1679,0,1.0
v12_asymmetric,gate6_ood_unsw,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,852,0,1.0
v12_asymmetric,gate2_id_256,I_Ym,serve_always,0.0,1200,0.0,0.0,830,830,0.0
v12_asymmetric,gate3a_ood_tue_wed,I_Ym,serve_always,0.0,1200,0.0,0.0,457,457,0.0
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_Ym,serve_always,0.0,1200,0.0,0.0,424,424,0.0
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_Ym,serve_always,0.0,1200,0.0,0.0,545,545,0.0
v12_asymmetric,gate3d_ood_wed_fri_morning,I_Ym,serve_always,0.0,1200,0.0,0.0,479,479,0.0
v12_asymmetric,gate5a_id_unsw,I_Ym,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
