gate,svd_dim,model,regime,n_resplits,resplit_rate_family_v12,resplit_rate_family,resplit_rate_family_max,conformal_level
gate5a_id_unsw,10,qsvc_zz_r1,I_XF,30,0.05816666666666666,0.04016666666666666,0.085,0.04975124378109453
gate5a_id_unsw,10,qsvc_zz_r1,I_Ym,30,0.036500000000000005,0.036500000000000005,0.08,0.04975124378109453
gate5a_id_unsw,10,qsvc_zz_r1,I_XFY,30,0.06616666666666667,0.036166666666666666,0.105,0.04975124378109453
gate5a_id_unsw,10,svc_rbf,I_X,30,0.0535,0.041666666666666664,0.09,0.04975124378109453
gate5a_id_unsw,10,svc_rbf,I_XF,30,0.056666666666666664,0.043000000000000003,0.09,0.04975124378109453
gate5a_id_unsw,10,svc_rbf,I_Ym,30,0.043666666666666666,0.043666666666666666,0.11,0.04975124378109453
gate5a_id_unsw,10,svc_rbf,I_XFY,30,0.05516666666666667,0.03150000000000001,0.09,0.04975124378109453
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_X,30,0.0445,0.03833333333333334,0.095,0.04975124378109453
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_XF,30,0.06583333333333333,0.04666666666666666,0.105,0.04975124378109453
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_Ym,30,0.04466666666666666,0.04466666666666666,0.105,0.04975124378109453
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_XFY,30,0.060166666666666674,0.026333333333333337,0.06,0.04975124378109453
gate5a_id_unsw,12,qsvc_z_r1,I_X,30,0.051833333333333335,0.04566666666666666,0.1,0.04975124378109453
gate5a_id_unsw,12,qsvc_z_r1,I_XF,30,0.055,0.04083333333333334,0.105,0.04975124378109453
gate5a_id_unsw,12,qsvc_z_r1,I_Ym,30,0.03716666666666667,0.03716666666666667,0.075,0.04975124378109453
gate5a_id_unsw,12,qsvc_z_r1,I_XFY,30,0.0595,0.03250000000000001,0.07,0.04975124378109453
gate5a_id_unsw,12,qsvc_zz_r1,I_X,30,0.0555,0.047000000000000014,0.1,0.04975124378109453
gate5a_id_unsw,12,qsvc_zz_r1,I_XF,30,0.05733333333333333,0.03916666666666667,0.095,0.04975124378109453
gate5a_id_unsw,12,qsvc_zz_r1,I_Ym,30,0.029833333333333333,0.029833333333333333,0.085,0.04975124378109453
gate5a_id_unsw,12,qsvc_zz_r1,I_XFY,30,0.05799999999999999,0.034,0.08,0.04975124378109453
gate5a_id_unsw,12,svc_rbf,I_X,30,0.053666666666666675,0.044166666666666674,0.08,0.04975124378109453
gate5a_id_unsw,12,svc_rbf,I_XF,30,0.06316666666666666,0.05016666666666667,0.1,0.04975124378109453
gate5a_id_unsw,12,svc_rbf,I_Ym,30,0.034499999999999996,0.034499999999999996,0.105,0.04975124378109453
gate5a_id_unsw,12,svc_rbf,I_XFY,30,0.06216666666666666,0.03666666666666667,0.08,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_X,30,0.05166666666666666,0.044499999999999984,0.09,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_XF,30,0.05483333333333333,0.03816666666666667,0.09,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_Ym,30,0.038,0.038,0.11,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_XFY,30,0.0655,0.03783333333333334,0.08,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_z_r1,I_X,30,0.045666666666666654,0.03816666666666667,0.11,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_z_r1,I_XF,30,0.05933333333333334,0.04466666666666665,0.095,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_z_r1,I_Ym,30,0.04466666666666666,0.04466666666666666,0.105,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_z_r1,I_XFY,30,0.051500000000000004,0.02516666666666667,0.06,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_zz_r1,I_X,30,0.05266666666666667,0.041999999999999996,0.07,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_zz_r1,I_XF,30,0.06216666666666667,0.04516666666666667,0.11,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_zz_r1,I_Ym,30,0.04666666666666665,0.04666666666666665,0.11,0.04975124378109453
gate5b_id_ton_iot,8,qsvc_zz_r1,I_XFY,30,0.05283333333333333,0.03183333333333334,0.075,0.04975124378109453
