gate,svd_dim,model,regime,rule,n,n_fire,false_alarm_rate
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_X,family_v12,200,19,0.095
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_X,family,200,19,0.095
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XF,union,200,46,0.23
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XF,family_v12,200,18,0.09
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XF,family,200,16,0.08
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XFY,union,200,50,0.25
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XFY,family_v12,200,22,0.11
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XFY,family,200,9,0.045
gate3a_ood_tue_wed,10,svc_rbf,I_X,union,200,33,0.165
gate3a_ood_tue_wed,10,svc_rbf,I_X,family_v12,200,19,0.095
gate3a_ood_tue_wed,10,svc_rbf,I_X,family,200,19,0.095
gate3a_ood_tue_wed,10,svc_rbf,I_XF,union,200,54,0.27
gate3a_ood_tue_wed,10,svc_rbf,I_XF,family_v12,200,21,0.105
gate3a_ood_tue_wed,10,svc_rbf,I_XF,family,200,18,0.09
gate3a_ood_tue_wed,10,svc_rbf,I_Ym,union,200,5,0.025
gate3a_ood_tue_wed,10,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3a_ood_tue_wed,10,svc_rbf,I_Ym,family,200,5,0.025
gate3a_ood_tue_wed,10,svc_rbf,I_XFY,union,200,58,0.29
gate3a_ood_tue_wed,10,svc_rbf,I_XFY,family_v12,200,21,0.105
gate3a_ood_tue_wed,10,svc_rbf,I_XFY,family,200,17,0.085
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_X,union,200,26,0.13
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_X,family_v12,200,18,0.09
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_X,family,200,18,0.09
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XF,union,200,35,0.175
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XF,family_v12,200,18,0.09
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XF,family,200,11,0.055
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XFY,union,200,40,0.2
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XFY,family_v12,200,19,0.095
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XFY,family,200,12,0.06
gate3a_ood_tue_wed,12,svc_rbf,I_X,union,200,26,0.13
gate3a_ood_tue_wed,12,svc_rbf,I_X,family_v12,200,18,0.09
gate3a_ood_tue_wed,12,svc_rbf,I_X,family,200,18,0.09
gate3a_ood_tue_wed,12,svc_rbf,I_XF,union,200,47,0.235
gate3a_ood_tue_wed,12,svc_rbf,I_XF,family_v12,200,16,0.08
gate3a_ood_tue_wed,12,svc_rbf,I_XF,family,200,14,0.07
gate3a_ood_tue_wed,12,svc_rbf,I_Ym,union,200,5,0.025
gate3a_ood_tue_wed,12,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3a_ood_tue_wed,12,svc_rbf,I_Ym,family,200,5,0.025
gate3a_ood_tue_wed,12,svc_rbf,I_XFY,union,200,50,0.25
gate3a_ood_tue_wed,12,svc_rbf,I_XFY,family_v12,200,18,0.09
gate3a_ood_tue_wed,12,svc_rbf,I_XFY,family,200,15,0.075
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_X,union,200,15,0.075
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_X,family_v12,200,11,0.055
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_X,family,200,8,0.04
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XF,union,200,42,0.21
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XF,family_v12,200,12,0.06
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XF,family,200,6,0.03
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XFY,union,200,49,0.245
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XFY,family_v12,200,8,0.04
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XFY,family,200,7,0.035
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_X,union,200,14,0.07
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_X,family_v12,200,10,0.05
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_X,family,200,8,0.04
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XF,union,200,34,0.17
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XF,family_v12,200,12,0.06
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XF,family,200,7,0.035
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_Ym,union,200,5,0.025
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_Ym,family,200,5,0.025
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XFY,union,200,41,0.205
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XFY,family_v12,200,9,0.045
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XFY,family,200,8,0.04
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_X,union,200,12,0.06
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_X,family_v12,200,8,0.04
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_X,family,200,6,0.03
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XF,union,200,30,0.15
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XF,family_v12,200,8,0.04
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XF,family,200,5,0.025
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XFY,union,200,37,0.185
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XFY,family_v12,200,11,0.055
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XFY,family,200,8,0.04
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_X,union,200,12,0.06
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_X,family_v12,200,8,0.04
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_X,family,200,6,0.03
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XF,union,200,27,0.135
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XF,family_v12,200,7,0.035
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XF,family,200,3,0.015
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_Ym,union,200,5,0.025
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_Ym,family,200,5,0.025
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XFY,union,200,35,0.175
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XFY,family_v12,200,6,0.03
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XFY,family,200,6,0.03
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_X,union,200,14,0.07
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_X,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_X,family,200,5,0.025
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XF,union,200,27,0.135
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XF,family_v12,200,8,0.04
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XF,family,200,3,0.015
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XFY,union,200,35,0.175
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XFY,family_v12,200,11,0.055
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XFY,family,200,7,0.035
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_X,union,200,12,0.06
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_X,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_X,family,200,5,0.025
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XF,union,200,32,0.16
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XF,family_v12,200,7,0.035
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XF,family,200,4,0.02
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_Ym,union,200,5,0.025
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_Ym,family,200,5,0.025
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XFY,union,200,40,0.2
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XFY,family_v12,200,10,0.05
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XFY,family,200,9,0.045
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_X,union,200,13,0.065
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_X,family_v12,200,10,0.05
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_X,family,200,10,0.05
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XF,union,200,29,0.145
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XF,family_v12,200,8,0.04
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XF,family,200,3,0.015
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XFY,union,200,33,0.165
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XFY,family_v12,200,9,0.045
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XFY,family,200,3,0.015
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_X,union,200,14,0.07
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_X,family_v12,200,10,0.05
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_X,family,200,10,0.05
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XF,union,200,36,0.18
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XF,family_v12,200,16,0.08
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XF,family,200,8,0.04
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_Ym,union,200,5,0.025
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_Ym,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XFY,union,200,40,0.2
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XFY,family_v12,200,17,0.085
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XFY,family,200,9,0.045
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_X,union,200,15,0.075
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_X,family_v12,200,11,0.055
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_X,family,200,11,0.055
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XF,union,200,35,0.175
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XF,family_v12,200,7,0.035
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XF,family,200,7,0.035
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XFY,union,200,40,0.2
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XFY,family_v12,200,9,0.045
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XFY,family,200,8,0.04
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_X,union,200,15,0.075
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_X,family_v12,200,11,0.055
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_X,family,200,11,0.055
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XF,union,200,37,0.185
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XF,family_v12,200,15,0.075
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XF,family,200,8,0.04
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_Ym,union,200,5,0.025
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_Ym,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XFY,union,200,39,0.195
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XFY,family_v12,200,9,0.045
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XFY,family,200,8,0.04
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_X,union,200,14,0.07
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_X,family_v12,200,6,0.03
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_X,family,200,6,0.03
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XF,union,200,26,0.13
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XF,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XF,family,200,4,0.02
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XFY,union,200,32,0.16
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XFY,family_v12,200,7,0.035
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XFY,family,200,6,0.03
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_X,union,200,13,0.065
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_X,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_X,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XF,union,200,32,0.16
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XF,family_v12,200,14,0.07
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XF,family,200,13,0.065
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_Ym,union,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_Ym,family,200,5,0.025
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XFY,union,200,33,0.165
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XFY,family_v12,200,14,0.07
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XFY,family,200,10,0.05
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_X,union,200,25,0.125
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_X,family_v12,200,13,0.065
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_X,family,200,9,0.045
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XF,union,200,42,0.21
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XF,family_v12,200,17,0.085
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XF,family,200,7,0.035
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XFY,union,200,53,0.265
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XFY,family_v12,200,11,0.055
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XFY,family,200,7,0.035
gate3d_ood_wed_fri_morning,8,svc_rbf,I_X,union,200,28,0.14
gate3d_ood_wed_fri_morning,8,svc_rbf,I_X,family_v12,200,12,0.06
gate3d_ood_wed_fri_morning,8,svc_rbf,I_X,family,200,8,0.04
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XF,union,200,37,0.185
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XF,family_v12,200,5,0.025
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XF,family,200,2,0.01
gate3d_ood_wed_fri_morning,8,svc_rbf,I_Ym,union,200,5,0.025
gate3d_ood_wed_fri_morning,8,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3d_ood_wed_fri_morning,8,svc_rbf,I_Ym,family,200,5,0.025
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XFY,union,200,43,0.215
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XFY,family_v12,200,7,0.035
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XFY,family,200,3,0.015
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_X,union,200,29,0.145
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_X,family_v12,200,14,0.07
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_X,family,200,12,0.06
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XF,union,200,58,0.29
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XF,family_v12,200,15,0.075
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XF,family,200,13,0.065
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XFY,union,200,68,0.34
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XFY,family_v12,200,18,0.09
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XFY,family,200,9,0.045
gate3d_ood_wed_fri_morning,10,svc_rbf,I_X,union,200,28,0.14
gate3d_ood_wed_fri_morning,10,svc_rbf,I_X,family_v12,200,13,0.065
gate3d_ood_wed_fri_morning,10,svc_rbf,I_X,family,200,10,0.05
gate3d_ood_wed_fri_morning,10,svc_rbf,I_XF,union,200,44,0.22
gate3d_ood_wed_fri_morning,10,svc_rbf,I_XF,family_v12,200,14,0.07
