gate,split_seed,regime,rule,n,n_fire,false_alarm_rate
gate3b_ood_tue_fri_portscan,46,I_XFY,family,240,0,0.0
gate3c_ood_wed_thu_webattacks,42,I_X,union,240,25,0.10416666666666667
gate3c_ood_wed_thu_webattacks,42,I_X,family,240,24,0.1
gate3c_ood_wed_thu_webattacks,42,I_XF,union,240,55,0.22916666666666666
gate3c_ood_wed_thu_webattacks,42,I_XF,family,240,27,0.1125
gate3c_ood_wed_thu_webattacks,42,I_Ym,union,240,6,0.025
gate3c_ood_wed_thu_webattacks,42,I_Ym,family,240,6,0.025
gate3c_ood_wed_thu_webattacks,42,I_XFY,union,240,55,0.22916666666666666
gate3c_ood_wed_thu_webattacks,42,I_XFY,family,240,25,0.10416666666666667
gate3c_ood_wed_thu_webattacks,43,I_X,union,240,6,0.025
gate3c_ood_wed_thu_webattacks,43,I_X,family,240,6,0.025
gate3c_ood_wed_thu_webattacks,43,I_XF,union,240,38,0.15833333333333333
gate3c_ood_wed_thu_webattacks,43,I_XF,family,240,22,0.09166666666666666
gate3c_ood_wed_thu_webattacks,43,I_Ym,union,240,0,0.0
gate3c_ood_wed_thu_webattacks,43,I_Ym,family,240,0,0.0
gate3c_ood_wed_thu_webattacks,43,I_XFY,union,240,43,0.17916666666666667
gate3c_ood_wed_thu_webattacks,43,I_XFY,family,240,20,0.08333333333333333
gate3c_ood_wed_thu_webattacks,44,I_X,union,240,24,0.1
gate3c_ood_wed_thu_webattacks,44,I_X,family,240,8,0.03333333333333333
gate3c_ood_wed_thu_webattacks,44,I_XF,union,240,42,0.175
gate3c_ood_wed_thu_webattacks,44,I_XF,family,240,5,0.020833333333333332
gate3c_ood_wed_thu_webattacks,44,I_Ym,union,240,12,0.05
gate3c_ood_wed_thu_webattacks,44,I_Ym,family,240,12,0.05
gate3c_ood_wed_thu_webattacks,44,I_XFY,union,240,45,0.1875
gate3c_ood_wed_thu_webattacks,44,I_XFY,family,240,10,0.041666666666666664
gate3c_ood_wed_thu_webattacks,45,I_X,union,240,10,0.041666666666666664
gate3c_ood_wed_thu_webattacks,45,I_X,family,240,4,0.016666666666666666
gate3c_ood_wed_thu_webattacks,45,I_XF,union,240,26,0.10833333333333334
gate3c_ood_wed_thu_webattacks,45,I_XF,family,240,3,0.0125
gate3c_ood_wed_thu_webattacks,45,I_Ym,union,240,0,0.0
gate3c_ood_wed_thu_webattacks,45,I_Ym,family,240,0,0.0
gate3c_ood_wed_thu_webattacks,45,I_XFY,union,240,26,0.10833333333333334
gate3c_ood_wed_thu_webattacks,45,I_XFY,family,240,3,0.0125
gate3c_ood_wed_thu_webattacks,46,I_X,union,240,19,0.07916666666666666
gate3c_ood_wed_thu_webattacks,46,I_X,family,240,11,0.04583333333333333
gate3c_ood_wed_thu_webattacks,46,I_XF,union,240,34,0.14166666666666666
gate3c_ood_wed_thu_webattacks,46,I_XF,family,240,8,0.03333333333333333
gate3c_ood_wed_thu_webattacks,46,I_Ym,union,240,12,0.05
gate3c_ood_wed_thu_webattacks,46,I_Ym,family,240,12,0.05
gate3c_ood_wed_thu_webattacks,46,I_XFY,union,240,48,0.2
gate3c_ood_wed_thu_webattacks,46,I_XFY,family,240,7,0.029166666666666667
gate3d_ood_wed_fri_morning,42,I_X,union,240,40,0.16666666666666666
gate3d_ood_wed_fri_morning,42,I_X,family,240,18,0.075
gate3d_ood_wed_fri_morning,42,I_XF,union,240,66,0.275
gate3d_ood_wed_fri_morning,42,I_XF,family,240,23,0.09583333333333334
gate3d_ood_wed_fri_morning,42,I_Ym,union,240,6,0.025
gate3d_ood_wed_fri_morning,42,I_Ym,family,240,6,0.025
