regime,policy,tau,attack_family,n,n_material,unsafe_allow,true_hold_block,integrity_only_hold_block,containment
I_XFY_trusted,serve_always,0.0,pipeline,1800,1079,1079,0,0,0.0
I_XFY_trusted,serve_always,0.02,target_shift,3600,1319,1319,0,0,0.0
I_XFY_trusted,serve_always,0.02,corruption,1800,1027,1027,0,0,0.0
I_XFY_trusted,serve_always,0.02,covariate_shift,3600,1075,1075,0,0,0.0
I_XFY_trusted,serve_always,0.02,pipeline,1800,381,381,0,0,0.0
I_XFY_trusted,serve_always,0.05,target_shift,3600,444,444,0,0,0.0
I_XFY_trusted,serve_always,0.05,corruption,1800,589,589,0,0,0.0
I_XFY_trusted,serve_always,0.05,covariate_shift,3600,763,763,0,0,0.0
I_XFY_trusted,serve_always,0.05,pipeline,1800,74,74,0,0,0.0
I_XFY_trusted,union_uncalibrated,0.0,target_shift,3600,2617,0,2617,983,1.0
I_XFY_trusted,union_uncalibrated,0.0,corruption,1800,1464,0,1464,179,1.0
I_XFY_trusted,union_uncalibrated,0.0,covariate_shift,3600,1848,0,1848,1752,1.0
I_XFY_trusted,union_uncalibrated,0.0,pipeline,1800,1079,0,1079,102,1.0
I_XFY_trusted,union_uncalibrated,0.02,target_shift,3600,1319,0,1319,2281,1.0
I_XFY_trusted,union_uncalibrated,0.02,corruption,1800,1027,0,1027,616,1.0
I_XFY_trusted,union_uncalibrated,0.02,covariate_shift,3600,1075,0,1075,2525,1.0
I_XFY_trusted,union_uncalibrated,0.02,pipeline,1800,381,0,381,800,1.0
I_XFY_trusted,union_uncalibrated,0.05,target_shift,3600,444,0,444,3156,1.0
I_XFY_trusted,union_uncalibrated,0.05,corruption,1800,589,0,589,1054,1.0
I_XFY_trusted,union_uncalibrated,0.05,covariate_shift,3600,763,0,763,2837,1.0
I_XFY_trusted,union_uncalibrated,0.05,pipeline,1800,74,0,74,1107,1.0
I_XFY_trusted,family_calibrated,0.0,target_shift,3600,2617,0,2617,983,1.0
I_XFY_trusted,family_calibrated,0.0,corruption,1800,1464,0,1464,157,1.0
I_XFY_trusted,family_calibrated,0.0,covariate_shift,3600,1848,0,1848,1743,1.0
I_XFY_trusted,family_calibrated,0.0,pipeline,1800,1079,0,1079,98,1.0
I_XFY_trusted,family_calibrated,0.02,target_shift,3600,1319,0,1319,2281,1.0
I_XFY_trusted,family_calibrated,0.02,corruption,1800,1027,0,1027,594,1.0
I_XFY_trusted,family_calibrated,0.02,covariate_shift,3600,1075,0,1075,2516,1.0
I_XFY_trusted,family_calibrated,0.02,pipeline,1800,381,0,381,796,1.0
I_XFY_trusted,family_calibrated,0.05,target_shift,3600,444,0,444,3156,1.0
I_XFY_trusted,family_calibrated,0.05,corruption,1800,589,0,589,1032,1.0
I_XFY_trusted,family_calibrated,0.05,covariate_shift,3600,763,0,763,2828,1.0
I_XFY_trusted,family_calibrated,0.05,pipeline,1800,74,0,74,1103,1.0
I_XFY_trusted,family_calibrated_strict,0.0,target_shift,3600,2617,0,2617,983,1.0
I_XFY_trusted,family_calibrated_strict,0.0,corruption,1800,1464,0,1464,157,1.0
I_XFY_trusted,family_calibrated_strict,0.0,covariate_shift,3600,1848,0,1848,1743,1.0
I_XFY_trusted,family_calibrated_strict,0.0,pipeline,1800,1079,0,1079,98,1.0
I_XFY_trusted,family_calibrated_strict,0.02,target_shift,3600,1319,0,1319,2281,1.0
I_XFY_trusted,family_calibrated_strict,0.02,corruption,1800,1027,0,1027,594,1.0
I_XFY_trusted,family_calibrated_strict,0.02,covariate_shift,3600,1075,0,1075,2516,1.0
I_XFY_trusted,family_calibrated_strict,0.02,pipeline,1800,381,0,381,796,1.0
I_XFY_trusted,family_calibrated_strict,0.05,target_shift,3600,444,0,444,3156,1.0
I_XFY_trusted,family_calibrated_strict,0.05,corruption,1800,589,0,589,1032,1.0
I_XFY_trusted,family_calibrated_strict,0.05,covariate_shift,3600,763,0,763,2828,1.0
I_XFY_trusted,family_calibrated_strict,0.05,pipeline,1800,74,0,74,1103,1.0
