geometry,attack,attack_class,mechanism,strength,subset,regime,rule,n,n_fire,response_rate,clean_n_fire,attack_only,clean_only,both_fire
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_Ym,family,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XFY,union,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XFY,family,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_X,union,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_X,family,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_XF,union,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_XF,family,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_Ym,union,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_Ym,family,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_XFY,union,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_XFY,family,317,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_X,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_X,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_XF,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_XF,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_Ym,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_Ym,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_XFY,union,600,1,0.0016666666666666668,0,1,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,all,I_XFY,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_X,union,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_X,family,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_XF,union,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_XF,family,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_Ym,union,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_Ym,family,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_XFY,union,369,1,0.0027100271002710027,0,1,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,material,I_XFY,family,369,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_X,union,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_X,family,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_XF,union,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_XF,family,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_Ym,union,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_Ym,family,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_XFY,union,404,1,0.0024752475247524753,0,1,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_separable,I_XFY,family,404,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_X,union,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_X,family,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_XF,union,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_XF,family,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_Ym,union,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_Ym,family,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_XFY,union,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.050,label,label_flip_prior_preserving,0.05,aggregate_blind,I_XFY,family,196,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_X,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_X,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_XF,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_XF,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_Ym,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_Ym,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_XFY,union,600,20,0.03333333333333333,0,20,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,all,I_XFY,family,600,7,0.011666666666666667,0,7,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_X,union,428,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_X,family,428,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_XF,union,428,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_XF,family,428,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_Ym,union,428,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_Ym,family,428,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_XFY,union,428,20,0.04672897196261682,0,20,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,material,I_XFY,family,428,7,0.016355140186915886,0,7,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_X,union,421,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_X,family,421,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_XF,union,421,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_XF,family,421,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_Ym,union,421,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_Ym,family,421,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_XFY,union,421,19,0.04513064133016627,0,19,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_separable,I_XFY,family,421,7,0.0166270783847981,0,7,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_X,union,179,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_X,family,179,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_XF,union,179,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_XF,family,179,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_Ym,union,179,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_Ym,family,179,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_XFY,union,179,1,0.00558659217877095,0,1,0,0
original_v136,label_flip_prior_preserving_r_0.100,label,label_flip_prior_preserving,0.1,aggregate_blind,I_XFY,family,179,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_X,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_X,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_XF,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_XF,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_Ym,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_Ym,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_XFY,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,all,I_XFY,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_X,union,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_X,family,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_XF,union,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_XF,family,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_Ym,union,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_Ym,family,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_XFY,union,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,material,I_XFY,family,521,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_X,union,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_X,family,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_XF,union,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_XF,family,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_Ym,union,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_Ym,family,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_XFY,union,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_separable,I_XFY,family,563,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_X,union,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_X,family,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_XF,union,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_XF,family,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_Ym,union,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_Ym,family,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_XFY,union,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.020,label,label_flip,0.02,aggregate_blind,I_XFY,family,37,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_X,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_X,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_XF,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_XF,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_Ym,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_Ym,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_XFY,union,600,2,0.0033333333333333335,0,2,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,all,I_XFY,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_X,union,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_X,family,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_XF,union,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_XF,family,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_Ym,union,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_Ym,family,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_XFY,union,499,2,0.004008016032064128,0,2,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,material,I_XFY,family,499,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_X,union,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_X,family,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_XF,union,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_XF,family,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_Ym,union,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_Ym,family,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_XFY,union,599,2,0.00333889816360601,0,2,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_separable,I_XFY,family,599,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_X,union,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_X,family,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_XF,union,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_XF,family,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_Ym,union,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_Ym,family,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_XFY,union,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.050,label,label_flip,0.05,aggregate_blind,I_XFY,family,1,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_X,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_X,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_XF,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_XF,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_Ym,union,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_Ym,family,600,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_XFY,union,600,20,0.03333333333333333,0,20,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,all,I_XFY,family,600,4,0.006666666666666667,0,4,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_X,union,538,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_X,family,538,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_XF,union,538,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_XF,family,538,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_Ym,union,538,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_Ym,family,538,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_XFY,union,538,20,0.03717472118959108,0,20,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,material,I_XFY,family,538,4,0.007434944237918215,0,4,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_X,union,566,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_X,family,566,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_XF,union,566,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_XF,family,566,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_Ym,union,566,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_Ym,family,566,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_XFY,union,566,20,0.0353356890459364,0,20,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_separable,I_XFY,family,566,4,0.007067137809187279,0,4,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_X,union,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_X,family,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_XF,union,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_XF,family,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_Ym,union,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_Ym,family,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_XFY,union,34,0,0.0,0,0,0,0
original_v136,label_flip_r_0.100,label,label_flip,0.1,aggregate_blind,I_XFY,family,34,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_X,union,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_X,family,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XF,union,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XF,family,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_Ym,union,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_Ym,family,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XFY,union,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XFY,family,600,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_X,union,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_X,family,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XF,union,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XF,family,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_Ym,union,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_Ym,family,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XFY,union,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XFY,family,262,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_X,union,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_X,family,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XF,union,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XF,family,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_Ym,union,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_Ym,family,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XFY,union,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XFY,family,283,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_X,union,317,0,0.0,0,0,0,0
corrected_original,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_blind,I_X,family,317,0,0.0,0,0,0,0
