row_label,order,strength,mechanism,attack,attack_family,target,n,n_fire,detection_rate,ci95_low,ci95_high
Feature-wise mean shift 0.05,1,0.05,Feature-wise mean shift,mean_shift_pf_delta_0.050,covariate_shift,I_XF,600,600,1.0,0.9938707286693308,1.0
Feature-wise mean shift 0.05,1,0.05,Feature-wise mean shift,mean_shift_pf_delta_0.050,covariate_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Feature-wise mean shift 0.05,1,0.05,Feature-wise mean shift,mean_shift_pf_delta_0.050,covariate_shift,I_XFY,600,600,1.0,0.9938707286693308,1.0
Feature-wise mean shift 0.05,1,0.05,Feature-wise mean shift,mean_shift_pf_delta_0.050,covariate_shift,I_XFY_item_aligned,600,300,0.5,0.4592436802668269,0.5407563197331731
Feature-wise mean shift 0.10,1,0.1,Feature-wise mean shift,mean_shift_pf_delta_0.100,covariate_shift,I_X,600,600,1.0,0.9938707286693308,1.0
Feature-wise mean shift 0.10,1,0.1,Feature-wise mean shift,mean_shift_pf_delta_0.100,covariate_shift,I_XF,600,600,1.0,0.9938707286693308,1.0
Feature-wise mean shift 0.10,1,0.1,Feature-wise mean shift,mean_shift_pf_delta_0.100,covariate_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Feature-wise mean shift 0.10,1,0.1,Feature-wise mean shift,mean_shift_pf_delta_0.100,covariate_shift,I_XFY,600,600,1.0,0.9938707286693308,1.0
Feature-wise mean shift 0.10,1,0.1,Feature-wise mean shift,mean_shift_pf_delta_0.100,covariate_shift,I_XFY_item_aligned,600,371,0.6183333333333333,0.5781233693690266,0.6573723985641315
Scaling drift 0.02,2,0.02,Scaling drift,scaling_drift_alpha_0.020,covariate_shift,I_X,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.02,2,0.02,Scaling drift,scaling_drift_alpha_0.020,covariate_shift,I_XF,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.02,2,0.02,Scaling drift,scaling_drift_alpha_0.020,covariate_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Scaling drift 0.02,2,0.02,Scaling drift,scaling_drift_alpha_0.020,covariate_shift,I_XFY,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.02,2,0.02,Scaling drift,scaling_drift_alpha_0.020,covariate_shift,I_XFY_item_aligned,600,322,0.5366666666666666,0.4958363376114133,0.5771344339423475
Scaling drift 0.05,2,0.05,Scaling drift,scaling_drift_alpha_0.050,covariate_shift,I_X,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.05,2,0.05,Scaling drift,scaling_drift_alpha_0.050,covariate_shift,I_XF,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.05,2,0.05,Scaling drift,scaling_drift_alpha_0.050,covariate_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Scaling drift 0.05,2,0.05,Scaling drift,scaling_drift_alpha_0.050,covariate_shift,I_XFY,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.05,2,0.05,Scaling drift,scaling_drift_alpha_0.050,covariate_shift,I_XFY_item_aligned,600,365,0.6083333333333333,0.5679874751981395,0.6476073795024757
Scaling drift 0.10,2,0.1,Scaling drift,scaling_drift_alpha_0.100,covariate_shift,I_X,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.10,2,0.1,Scaling drift,scaling_drift_alpha_0.100,covariate_shift,I_XF,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.10,2,0.1,Scaling drift,scaling_drift_alpha_0.100,covariate_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Scaling drift 0.10,2,0.1,Scaling drift,scaling_drift_alpha_0.100,covariate_shift,I_XFY,600,600,1.0,0.9938707286693308,1.0
Scaling drift 0.10,2,0.1,Scaling drift,scaling_drift_alpha_0.100,covariate_shift,I_XFY_item_aligned,600,401,0.6683333333333333,0.6290690731684311,0.7059305227456115
Feature dropout 0.02,3,0.02,Feature dropout,feature_dropout_p_0.020,pipeline,I_X,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.02,3,0.02,Feature dropout,feature_dropout_p_0.020,pipeline,I_XF,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.02,3,0.02,Feature dropout,feature_dropout_p_0.020,pipeline,I_Ym,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.02,3,0.02,Feature dropout,feature_dropout_p_0.020,pipeline,I_XFY,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.02,3,0.02,Feature dropout,feature_dropout_p_0.020,pipeline,I_XFY_item_aligned,600,293,0.4883333333333333,0.4476455372385918,0.5291364826599279
Feature dropout 0.05,3,0.05,Feature dropout,feature_dropout_p_0.050,pipeline,I_X,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.05,3,0.05,Feature dropout,feature_dropout_p_0.050,pipeline,I_XF,600,13,0.0216666666666666,0.0115858255688451,0.0367656884344933
Feature dropout 0.05,3,0.05,Feature dropout,feature_dropout_p_0.050,pipeline,I_Ym,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.05,3,0.05,Feature dropout,feature_dropout_p_0.050,pipeline,I_XFY,600,13,0.0216666666666666,0.0115858255688451,0.0367656884344933
Feature dropout 0.05,3,0.05,Feature dropout,feature_dropout_p_0.050,pipeline,I_XFY_item_aligned,600,423,0.705,0.6667298904521011,0.7412380927819966
Feature dropout 0.10,3,0.1,Feature dropout,feature_dropout_p_0.100,pipeline,I_X,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.10,3,0.1,Feature dropout,feature_dropout_p_0.100,pipeline,I_XF,600,37,0.0616666666666666,0.043786996659553,0.0840006125955407
Feature dropout 0.10,3,0.1,Feature dropout,feature_dropout_p_0.100,pipeline,I_Ym,600,0,0.0,0.0,0.0061292713306692
Feature dropout 0.10,3,0.1,Feature dropout,feature_dropout_p_0.100,pipeline,I_XFY,600,37,0.0616666666666666,0.043786996659553,0.0840006125955407
Feature dropout 0.10,3,0.1,Feature dropout,feature_dropout_p_0.100,pipeline,I_XFY_item_aligned,600,458,0.7633333333333333,0.7272413003570726,0.7968097010552704
Prior-preserving label flip 0.02,4,0.02,Prior-preserving label flip,label_flip_prior_preserving_r_0.020,target_shift,I_X,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.02,4,0.02,Prior-preserving label flip,label_flip_prior_preserving_r_0.020,target_shift,I_XF,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.02,4,0.02,Prior-preserving label flip,label_flip_prior_preserving_r_0.020,target_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.02,4,0.02,Prior-preserving label flip,label_flip_prior_preserving_r_0.020,target_shift,I_XFY,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.02,4,0.02,Prior-preserving label flip,label_flip_prior_preserving_r_0.020,target_shift,I_XFY_item_aligned,600,600,1.0,0.9938707286693308,1.0
Prior-preserving label flip 0.05,4,0.05,Prior-preserving label flip,label_flip_prior_preserving_r_0.050,target_shift,I_X,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.05,4,0.05,Prior-preserving label flip,label_flip_prior_preserving_r_0.050,target_shift,I_XF,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.05,4,0.05,Prior-preserving label flip,label_flip_prior_preserving_r_0.050,target_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.05,4,0.05,Prior-preserving label flip,label_flip_prior_preserving_r_0.050,target_shift,I_XFY,600,1,0.0016666666666666,4.219545638717012e-05,0.0092507722793745
Prior-preserving label flip 0.05,4,0.05,Prior-preserving label flip,label_flip_prior_preserving_r_0.050,target_shift,I_XFY_item_aligned,600,600,1.0,0.9938707286693308,1.0
Prior-preserving label flip 0.10,4,0.1,Prior-preserving label flip,label_flip_prior_preserving_r_0.100,target_shift,I_X,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.10,4,0.1,Prior-preserving label flip,label_flip_prior_preserving_r_0.100,target_shift,I_XF,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.10,4,0.1,Prior-preserving label flip,label_flip_prior_preserving_r_0.100,target_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Prior-preserving label flip 0.10,4,0.1,Prior-preserving label flip,label_flip_prior_preserving_r_0.100,target_shift,I_XFY,600,20,0.0333333333333333,0.0204774239002063,0.0510126524365247
Prior-preserving label flip 0.10,4,0.1,Prior-preserving label flip,label_flip_prior_preserving_r_0.100,target_shift,I_XFY_item_aligned,600,600,1.0,0.9938707286693308,1.0
Random label flip 0.02,5,0.02,Random label flip,label_flip_r_0.020,target_shift,I_X,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.02,5,0.02,Random label flip,label_flip_r_0.020,target_shift,I_XF,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.02,5,0.02,Random label flip,label_flip_r_0.020,target_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.02,5,0.02,Random label flip,label_flip_r_0.020,target_shift,I_XFY,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.02,5,0.02,Random label flip,label_flip_r_0.020,target_shift,I_XFY_item_aligned,600,600,1.0,0.9938707286693308,1.0
Random label flip 0.05,5,0.05,Random label flip,label_flip_r_0.050,target_shift,I_X,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.05,5,0.05,Random label flip,label_flip_r_0.050,target_shift,I_XF,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.05,5,0.05,Random label flip,label_flip_r_0.050,target_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.05,5,0.05,Random label flip,label_flip_r_0.050,target_shift,I_XFY,600,2,0.0033333333333333,0.0004039373604426,0.0119888339586524
Random label flip 0.05,5,0.05,Random label flip,label_flip_r_0.050,target_shift,I_XFY_item_aligned,600,600,1.0,0.9938707286693308,1.0
Random label flip 0.10,5,0.1,Random label flip,label_flip_r_0.100,target_shift,I_X,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.10,5,0.1,Random label flip,label_flip_r_0.100,target_shift,I_XF,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.10,5,0.1,Random label flip,label_flip_r_0.100,target_shift,I_Ym,600,0,0.0,0.0,0.0061292713306692
Random label flip 0.10,5,0.1,Random label flip,label_flip_r_0.100,target_shift,I_XFY,600,20,0.0333333333333333,0.0204774239002063,0.0510126524365247
Random label flip 0.10,5,0.1,Random label flip,label_flip_r_0.100,target_shift,I_XFY_item_aligned,600,600,1.0,0.9938707286693308,1.0
