signal_set,group,norm,norm_include_clean,combine,max_impact_err,max_stealth_err,dim8,dim10,dim12
vs_clean_11,protocol_dim,absmax,False,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dataset_dim,minmax,True,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dataset_dim,minmax,False,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dataset_dim,max,True,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dataset_dim,max,False,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dataset_dim,absmax,True,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dataset_dim,absmax,False,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dim,minmax,True,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dim,minmax,False,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dim,max,True,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dim,max,False,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dim,absmax,True,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dim,absmax,False,component_mean,0.0,0.2671357089740014,1.8533645604433635,2.060331501802941,1.9337613067035522
vs_clean_11,protocol_dataset_dim_family,max,True,component_mean,0.0,0.30208288155081875,1.8900987563895026,2.046758894583578,1.8952242116123221
vs_clean_11,protocol_dataset_dim_family,max,False,component_mean,0.0,0.30208288155081875,1.8900987563895026,2.046758894583578,1.8952242116123221
vs_clean_11,protocol_dataset_dim_family,absmax,True,component_mean,0.0,0.30208288155081875,1.8900987563895026,2.046758894583578,1.8952242116123221
vs_clean_11,protocol_dataset_dim_family,absmax,False,component_mean,0.0,0.30208288155081875,1.8900987563895026,2.046758894583578,1.8952242116123221
vs_clean_11,protocol_dataset_dim_family,minmax,True,block_mean,0.0,0.3245638063965586,1.9125796812352425,2.1149709356736355,1.960496824712891
vs_clean_11,protocol_dataset_dim_family,minmax,False,block_mean,0.0,0.3245638063965586,1.9125796812352425,2.1149709356736355,1.960496824712891
vs_clean_11,protocol_dataset,minmax,True,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_dataset,minmax,False,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_dataset,max,True,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_dataset,max,False,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_dataset,absmax,True,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_dataset,absmax,False,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_only,minmax,True,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_only,minmax,False,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_only,max,True,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_only,max,False,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_only,absmax,True,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_only,absmax,False,block_mean,0.0,0.33520958783122734,1.8374795399542805,2.0894264117548396,2.001835185560778
vs_clean_11,protocol_dataset_dim_family,minmax,True,component_mean,0.0,0.37290443522534744,1.9609203100640313,2.138080236268153,1.9902848429008322
vs_clean_11,protocol_dataset_dim_family,minmax,False,component_mean,0.0,0.37290443522534744,1.9609203100640313,2.138080236268153,1.9902848429008322
vs_clean_11,protocol_dataset,minmax,True,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_dataset,minmax,False,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_dataset,max,True,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_dataset,max,False,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_dataset,absmax,True,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_dataset,absmax,False,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_only,minmax,True,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_only,minmax,False,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_only,max,True,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
vs_clean_11,protocol_only,max,False,component_mean,0.0,0.3788627431607001,1.8962613466267575,2.1433315696380775,2.045488340890251
