geometry,family_rule,regime,policy,policy_class,n_clean,false_hold,false_block,decision_fpr,n_benign,benign_hold,benign_block,benign_interruption_rate,n_intervened,n_material,allow,hold,block,unsafe_allow,material_held_or_blocked,n_immaterial,integrity_only_hold_block
primary_v137_corrected_jsd,conformal,I_XFY_trusted,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",1200,0,0,0.0,1200,532,85,0.5141666666666667,10800,7008,857,1656,8287,0,7008,3792,2935
primary_v136,v12_asymmetric,I_X,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,1500,0,0.125,1200,907,0,0.7558333333333334,10800,7008,6356,4444,0,4429,2579,3792,1865
primary_v136,v12_asymmetric,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,733,0,0.06108333333333334,1200,702,0,0.585,10800,7008,6435,4365,0,4494,2514,3792,1851
primary_v136,v12_asymmetric,I_X,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v136,v12_asymmetric,I_XF,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,2438,0,0.20316666666666666,1200,910,0,0.7583333333333333,10800,7008,6125,4675,0,4231,2777,3792,1898
primary_v136,v12_asymmetric,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,871,0,0.07258333333333333,1200,648,0,0.54,10800,7008,6246,4554,0,4327,2681,3792,1873
primary_v136,v12_asymmetric,I_XF,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v136,v12_asymmetric,I_Ym,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_Ym,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v136,v12_asymmetric,I_XFY,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,3113,0,0.2594166666666667,1200,910,0,0.7583333333333333,10800,7008,6074,4726,0,4180,2828,3792,1898
primary_v136,v12_asymmetric,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,942,0,0.0785,1200,630,0,0.525,10800,7008,6255,4545,0,4322,2686,3792,1859
primary_v136,v12_asymmetric,I_XFY,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,942,0,0.0785,1200,630,0,0.525,10800,7008,6255,4545,0,4322,2686,3792,1859
primary_v136,v12_asymmetric,I_XFY_trusted,serve_always,baseline (always serve),1200,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,v12_asymmetric,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",1200,0,0,0.0,1200,841,85,0.7716666666666666,10800,7008,776,1737,8287,0,7008,3792,3016
primary_v136,v12_asymmetric,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",1200,0,0,0.0,1200,580,85,0.5541666666666667,10800,7008,811,1702,8287,0,7008,3792,2981
primary_v136,v12_asymmetric,I_XFY_trusted,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",1200,0,0,0.0,1200,580,85,0.5541666666666667,10800,7008,811,1702,8287,0,7008,3792,2981
primary_v137_corrected_jsd,v12_asymmetric,I_X,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,1478,0,0.12316666666666666,1200,904,0,0.7533333333333333,10800,7008,6356,4444,0,4429,2579,3792,1865
primary_v137_corrected_jsd,v12_asymmetric,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,755,0,0.06291666666666666,1200,693,0,0.5775,10800,7008,6431,4369,0,4490,2518,3792,1851
primary_v137_corrected_jsd,v12_asymmetric,I_X,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v137_corrected_jsd,v12_asymmetric,I_XF,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,2417,0,0.20141666666666666,1200,905,0,0.7541666666666667,10800,7008,6127,4673,0,4233,2775,3792,1898
primary_v137_corrected_jsd,v12_asymmetric,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,887,0,0.07391666666666667,1200,637,0,0.5308333333333334,10800,7008,6251,4549,0,4329,2679,3792,1870
primary_v137_corrected_jsd,v12_asymmetric,I_XF,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v137_corrected_jsd,v12_asymmetric,I_Ym,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_Ym,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v137_corrected_jsd,v12_asymmetric,I_XFY,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,3088,0,0.25733333333333336,1200,905,0,0.7541666666666667,10800,7008,6076,4724,0,4182,2826,3792,1898
primary_v137_corrected_jsd,v12_asymmetric,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,962,0,0.08016666666666666,1200,618,0,0.515,10800,7008,6258,4542,0,4325,2683,3792,1859
primary_v137_corrected_jsd,v12_asymmetric,I_XFY,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,962,0,0.08016666666666666,1200,618,0,0.515,10800,7008,6258,4542,0,4325,2683,3792,1859
primary_v137_corrected_jsd,v12_asymmetric,I_XFY_trusted,serve_always,baseline (always serve),1200,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,v12_asymmetric,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",1200,0,0,0.0,1200,837,85,0.7683333333333333,10800,7008,776,1737,8287,0,7008,3792,3016
primary_v137_corrected_jsd,v12_asymmetric,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",1200,0,0,0.0,1200,570,85,0.5458333333333333,10800,7008,811,1702,8287,0,7008,3792,2981
primary_v137_corrected_jsd,v12_asymmetric,I_XFY_trusted,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",1200,0,0,0.0,1200,570,85,0.5458333333333333,10800,7008,811,1702,8287,0,7008,3792,2981
